endpoint,tenant_owner,canonical_staff,technician,super_admin_override,required_permission,required_access_scope,tenant_ownership,complaint_ownership,delegation_intentional
respond_to_complaint,Allowed,Denied (no COMPLAINT_* permission exists),Denied,Allowed (via require_tenant_owner_mutation's super_admin exemption),none (role-gated),mutation-capable,server-derived + FIXED via provider_get_complaint (pre-existing),enforced,NO -- no evidence of intended staff delegation; narrowest existing guard applied
offer_resolution,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived,enforced,NO
schedule_rework,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + FIXED THIS SLICE (was: none at all),enforced (FIXED),NO
start_rework,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + FIXED THIS SLICE,enforced (FIXED),NO
complete_rework,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + FIXED THIS SLICE,enforced (FIXED),NO
review_refund,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + FIXED THIS SLICE (was: none at all),enforced (FIXED),NO
submit_ai_answers,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + provider_get_complaint (pre-existing),enforced,NO
create_settlement_proposal,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + FIXED THIS SLICE (was: _get_complaint with no tenant check),enforced (FIXED),NO
respond_to_settlement,Allowed,Denied,Denied,Allowed,none,mutation-capable,server-derived + provider_get_complaint + FIXED THIS SLICE (proposal_id now cross-checked against complaint_id),enforced (FIXED, deeper than complaint-level),NO

# No technician caller or product evidence was found anywhere (no mobile/staff-app
#   reference to any of these 9 endpoints) -- technician access is denied on all 9,
#   per "if no technician caller or product evidence exists, use a technician-excluding
#   guard." require_tenant_owner_mutation excludes both staff and technician (role
#   check admits only tenant_owner + super_admin).
