method,path,route_name,capability,persona,router_dependency,runtime_guard_status,tenant_ownership,customer_ownership,job_ownership,quote_ownership,state_validation,financial_effect,final_classification,protected_status
POST,/v1/jobs,create_job,job creation,tenant_owner/super_admin,require_tenant_mutation_permission (fixed 2F-14B),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_id pinned to actor (fixed 2F-14B),n/a,n/a (creation),n/a,job_type validated,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/quotes/{quote_id}/respond,respond_to_quote,customer quote decision,customer,require_customer (fixed 2F-14B),CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,n/a,quote.customer_id==customer_id (customer_id server-derived, fixed 2F-14B),via quote.job_id,quote.customer_id==customer_id,quote status==pending; job transition validated,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/convert-to-repair,convert_to_repair,consultation->repair conversion,tenant_owner/super_admin,require_tenant_mutation_permission (fixed 2F-14B),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,_get_job_for_assignment (pre-existing),derived from source (pre-existing),_get_job_for_assignment,n/a,CONSULTATION + QUOTE_APPROVED + no existing repair,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/spawn-repair,spawn_repair,manual repair spawn,tenant_owner/super_admin,require_tenant_mutation_permission (fixed 2F-14B),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,_get_job_for_assignment (fixed 2F-14B -- was NONE),derived from source,_get_job_for_assignment (fixed 2F-14B),n/a,CONSULTATION + no existing repair (duplicate guard fixed 2F-14B),none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/quote,create_quote,legacy quote creation,tenant_owner/staff/technician,require_staff_or_above_mutation (fixed 2F-14B),STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_quote_management (fixed 2F-14B -- was NONE),n/a (provider quote),_get_job_for_quote_management (fixed 2F-14B),n/a,QUOTE_PENDING transition validated,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/quotes,create_job_quote,line-item quote creation,tenant_owner/staff/technician,require_staff_or_above_mutation (fixed 2F-14B),STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_quote_management (customer-denial fixed 2F-14B),n/a,_get_job_for_quote_management,n/a,ASSESSMENT_COMPLETE required,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/approve,approve_job_quote,customer quote approval,customer,require_customer (fixed 2F-14B -- was inline check),CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,n/a,_get_quote_for_customer (pre-existing),_get_quote_for_customer,_get_quote_for_customer,quote status==sent,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/reject,reject_job_quote,customer quote rejection,customer,require_customer (fixed 2F-14B -- was inline check),CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,n/a,_get_quote_for_customer (pre-existing),_get_quote_for_customer,_get_quote_for_customer,reason required; quote status validated,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/send,send_job_quote,send quote to customer,tenant_owner/staff/technician,require_staff_or_above_mutation (fixed 2F-14B),STAFF_EXECUTION_ROLE_SCOPE_AWARE,_get_job_for_quote_management (customer-denial fixed 2F-14B),n/a,_get_job_for_quote_management,quote.job_id==job.id,QUOTE_SENT transition validated,none,SAME_JOB_DISTINCT_CAPABILITY,PROTECTED
POST,/v1/jobs/{job_id}/notes,add_note,job note,tenant_owner/staff/technician,get_current_user (route unchanged; service-level fix from 2F-14A),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (tool convention),_assert_can_access_job (2F-14A),customer denied write (2F-14A),_assert_can_access_job,n/a,n/a,none,SAME_JOB_NOTE_CAPABILITY,SERVICE_LEVEL_FIX_TOOL_INVISIBLE
POST,/v1/jobs/{job_id}/media,add_media,job media,tenant_owner/staff/technician,get_current_user (route unchanged; service-level fix from 2F-14A),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (tool convention),_assert_can_access_job (2F-14A),customer denied write (2F-14A),_assert_can_access_job,n/a,n/a,none,SAME_JOB_MEDIA_CAPABILITY,SERVICE_LEVEL_FIX_TOOL_INVISIBLE
