symbol,resolved_to,chain,resolved,permission,module,confidence,canonical_roles,consumers
get_current_user,get_current_user,get_current_user,True,,app.dependencies.auth,EXACT,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,3146
require_super_admin,require_super_admin,require_super_admin,True,,app.dependencies.auth,EXACT,super_admin,977
require_customer,require_customer,require_customer,True,,app.dependencies.auth,EXACT,customer,63
require_tenant_owner,require_tenant_owner,require_tenant_owner,True,,app.dependencies.auth,EXACT,super_admin|tenant_owner,62
require_tenant_update,require_tenant_update,require_tenant_update,True,tenant:update,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,56
require_tenant_owner_mutation,require_tenant_owner_mutation,require_tenant_owner_mutation,True,,app.core.permissions,EXACT,super_admin|tenant_owner,55
require_technician,require_technician,require_technician,True,,app.dependencies.auth,EXACT,staff|super_admin|technician|tenant_owner,51
require_owner_or_office_staff_mutation,require_owner_or_office_staff_mutation,require_owner_or_office_staff_mutation,True,,app.core.permissions,AST_INLINE_ROLE_SET,staff|super_admin|tenant_owner,47
require_finance_hub_read,require_finance_hub_read,require_finance_hub_read,True,finance:hub:read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_readonly|super_admin,38
require_staff_or_above,require_staff_or_above,require_staff_or_above,True,,app.dependencies.auth,AST_INLINE_ROLE_SET,staff|super_admin|technician|tenant_owner,29
require_settings_read,require_settings_read,require_settings_read,True,settings:read,app.core.permissions,PERMISSION_MAP,customer|guest|staff|super_admin|technician|tenant_owner,28
require_security_read,require_security_read,require_security_read,True,security:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin,27
require_staff_or_technician_only,require_staff_or_technician_only,require_staff_or_technician_only,True,,app.dependencies.auth,EXACT,staff|technician,27
require_staff_or_above_mutation,require_staff_or_above_mutation,require_staff_or_above_mutation,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,26
require_platform_mutate,require_platform_mutate,require_platform_mutate,True,,app.engines.auth.platform_users_router,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,18
require_tenant_mutation_tenant_update,require_tenant_mutation_tenant_update,require_tenant_mutation_tenant_update->require_tenant_update,True,tenant:update,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,18
require_tenant_billing_read,require_tenant_billing_read,require_tenant_billing_read,True,tenant:billing:read,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin|tenant_owner,17
require_customers_read,require_customers_read,require_customers_read,True,customers:read,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,15
require_marketing.automation.read,require_marketing.automation.read,require_marketing.automation.read,True,marketing.automation.read,app.core.permissions,PERMISSION_MAP,super_admin,14
require_field_ops_checklist_manage,require_field_ops_checklist_manage,require_field_ops_checklist_manage,True,field_ops:checklist:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,12
require_catalog_tiers_write,require_catalog_tiers_write,require_catalog_tiers_write,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,12
require_catalog_tiers_read,require_catalog_tiers_read,require_catalog_tiers_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,9
