module,router_file,service_file,set_a_count,set_b_included_count,mounted_confirmed
enterprise_grid_saved_views,app/engines/enterprise_grid/router.py,app/engines/enterprise_grid/services.py,4,0,YES
enterprise_grid_preferences_exports,app/engines/enterprise_grid/router.py,app/engines/enterprise_grid/services.py,2,0,YES
admin_catalog_provider_setup,"app/engines/admin_catalog/service_option_provider_router.py, brand_provider_router.py, recommendation_router.py","app/engines/admin_catalog/service_option_service.py, brand_service.py, recommendation_engine_service.py",4,0,YES
profile_technician_self_service,app/engines/profile/router.py,app/engines/profile/service.py,3,0,YES
profile_universal_self_service,app/engines/profile/router.py,app/engines/profile/service.py,1,0,YES
marketing_automation_provider,app/engines/marketing_automation/provider_router.py,(inline SQL in router),3,0,YES
analytics_provider_reports,app/engines/analytics/provider_router.py,app/engines/analytics/report_service.py,1,0,YES
chat,app/engines/chat/router.py,app/engines/chat/service.py,0,1,YES
inventory,app/engines/inventory/router.py,app/engines/inventory/service.py,0,5,YES
bookings,app/engines/booking/router.py,app/engines/booking/service.py,0,0 (already-protected exclude),YES
appointments,app/engines/appointment/router.py,app/engines/appointment/service.py,0,7,YES
catalog,app/engines/service_catalog/router.py,app/engines/service_catalog/service.py,0,2,YES
dispatch,app/engines/dispatch/router.py,app/engines/dispatch/service.py,0,2,YES
ds,app/engines/data_science/router.py,app/engines/data_science/service.py,0,4 (of 6; 2 READ_ONLY_EXCLUDE),YES
settings,app/engines/settings_engine/router.py,app/engines/settings_engine/service.py,0,2,YES
notifications,app/engines/notification/router.py,app/engines/notification/service.py,0,1,YES
serviceability,app/engines/serviceability/router.py,app/engines/serviceability/service.py,0,0 (READ_ONLY_EXCLUDE),YES
