route,client_supplied_tenant_field,server_derivation_added,exemption
POST /v1/chat/conversations/{conversation_id}/messages,tenant_id (query),ChatService._require_trusted_tenant,super_admin + customer (participant-checked instead)
POST /v1/inventory/tenants/{tenant_id}/items,tenant_id (path),InventoryService._require_trusted_tenant,super_admin
POST /v1/inventory/items/{item_id}/locations/{location_id}/receive,tenant_id (body),InventoryService._require_trusted_tenant,super_admin
POST /v1/inventory/reservations,tenant_id (body),InventoryService._require_trusted_tenant,super_admin
POST /v1/inventory/reservations/confirm,tenant_id (body),InventoryService._require_trusted_tenant,super_admin
POST /v1/inventory/reservations/release,tenant_id (body),InventoryService._require_trusted_tenant,super_admin
POST /v1/bookings,(none -- already rejected client tenant_id),N/A (pre-existing),super_admin
POST /v1/appointments/{appointment_id}/confirm,(none -- appointment_id only),AppointmentService._assert_appt_access,super_admin
POST /v1/appointments/{appointment_id}/cancel,(none -- appointment_id only),AppointmentService._assert_appt_access,super_admin
POST /v1/appointments/{appointment_id}/reschedule,(none -- appointment_id only),AppointmentService._assert_appt_access,super_admin
POST /v1/appointments/{appointment_id}/no-show,(none -- appointment_id only),AppointmentService._assert_appt_access,super_admin
POST /v1/appointments/staff/{staff_id}/calendar/block,tenant_id (query),AppointmentService._require_trusted_tenant,super_admin
DELETE /v1/appointments/calendar/blocks/{block_id},(none -- block_id only),inline tenant ownership check,super_admin
PUT /v1/appointments/staff/{staff_id}/working-hours,tenant_id (query),AppointmentService._require_trusted_tenant,super_admin
POST /v1/catalog,tenant_id (body),ServiceCatalogService._require_trusted_tenant,super_admin
PUT /v1/catalog/{item_id},(none -- item_id only),inline tenant ownership check,super_admin
POST /v1/dispatch/jobs/{job_id}/dispatch,tenant_id (body),DispatchService._require_trusted_tenant + job.tenant_id cross-check,super_admin
POST /v1/dispatch/jobs/{job_id}/reassign,(none -- job_id only),inline tenant ownership check,super_admin
POST /v1/ds/tenants/{tenant_id}/demand/recompute,tenant_id (path),DSService._require_trusted_tenant,super_admin
POST /v1/ds/tenants/{tenant_id}/pricing/apply,tenant_id (path),DSService._require_trusted_tenant,super_admin
GET /v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,tenant_id (path),DSService._require_trusted_tenant,super_admin
POST /v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,tenant_id (path),DSService._require_trusted_tenant,super_admin
PUT /v1/settings/tenants/{tenant_id}/{key},tenant_id (path),SettingsService._require_trusted_tenant,super_admin
DELETE /v1/settings/tenants/{tenant_id}/{key},tenant_id (path),SettingsService._require_trusted_tenant,super_admin
PUT /v1/notifications/tenants/{tenant_id}/channels/{channel},tenant_id (path),NotificationService._require_trusted_tenant,super_admin
