method,path,endpoint,capability,primary_persona,dependency_after,tenant_source_after,review_id_source,model_table,service_method,database_writes,canonical_row_status,protection_after
POST,/v1/reviews,create_review,DEPRECATED_410,DEPRECATED_410,get_current_user then 410,n/a,n/a,reviews,(none),none,OUTSIDE (deprecated),410 GONE -- preserved
POST,/v1/reviews/{review_id}/reply,submit_reply,PROVIDER_REPLY_CREATE,TENANT_OWNER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE),JWT (service),path,reviews,submit_reply,"tenant_reply, replied_at, replied_by",MISSING -> ADDED 2F-25,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/reviews/{review_id}/flag,flag_review,PROVIDER_REVIEW_FLAG,TENANT_OWNER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE),JWT (service),path,reviews,flag_review,"status=flagged, flagged_reason, flagged_by, history",MISSING -> ADDED 2F-25,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/reviews/{review_id}/resolve,resolve_flag,PLATFORM_FLAG_RESOLVE,PLATFORM_ADMIN,require_super_admin,platform-wide,path,reviews,resolve_flag,"status, resolved_by, history",OUTSIDE XY (platform admin),PLATFORM_ADMIN_ONLY
POST,/v1/reviews/requests,create_request,REVIEW_REQUEST_CREATE,TENANT_OWNER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE),JWT (was BODY),n/a,review_requests,create_review_request,ReviewRequest row,MISSING -> ADDED 2F-25,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
GET,/v1/reviews,list_by_tenant,TENANT_LIST_READ,PROVIDER_READ,get_current_user,JWT-pinned (was QUERY),n/a,reviews,list_by_tenant,none,n/a (read),tenant-pinned
GET,/v1/reviews/{review_id},get_review,REVIEW_DETAIL_READ,PROVIDER_READ,get_current_user,JWT (service),path,reviews,get_review,none,n/a (read),tenant-scoped (was PK-only)
GET,/v1/reviews/staff/{staff_id},list_by_staff,STAFF_LIST_READ,PROVIDER_READ,get_current_user,JWT-pinned (was QUERY),n/a,reviews,list_by_staff,none,n/a (read),tenant-pinned
GET,/v1/reviews/customers/{customer_id},list_by_customer,CUSTOMER_LIST_READ,CUSTOMER_SELF_SERVICE,get_current_user,n/a,n/a,reviews,list_by_customer,none,n/a (read),customer self-guard (_assert_owns) -- see known-limitations
GET,/v1/reviews/aggregates/{entity_type}/{entity_id},get_aggregate,AGGREGATE_READ,PROVIDER_READ,get_current_user,n/a,n/a,review_aggregates,get_aggregate,none,n/a (read),pre-computed aggregate -- see known-limitations
GET,/v1/reviews/requests,list_requests_by_query,REQUEST_LIST_READ,PROVIDER_READ,get_current_user,JWT-pinned (was QUERY),n/a,review_requests,list_review_requests,none,n/a (read),tenant-pinned
GET,/v1/reviews/requests/jobs/{job_id},get_request,REQUEST_DETAIL_READ,PROVIDER_READ,get_current_user,n/a,n/a,review_requests,get_review_request,none,n/a (read),job-id lookup -- see known-limitations
GET,/v1/reviews/tenants/{tenant_id}/requests,list_requests,REQUEST_LIST_READ,PROVIDER_READ,get_current_user,JWT-pinned (was PATH),n/a,review_requests,list_review_requests,none,n/a (read),tenant-pinned
GET,/v1/reviews/tenants/{tenant_id}/recent,recent_reviews,TENANT_LIST_READ,PROVIDER_READ,get_current_user,JWT-pinned (was PATH),n/a,reviews,list_recent_reviews,none,n/a (read),tenant-pinned
GET,/v1/reviews/meta,engine_meta,FALSE_POSITIVE_NON_MUTATION,PUBLIC_READ,(none),n/a,n/a,(none),(none),none,n/a,static metadata
