method,path,behavior,persona,tenant_direction,capability_family,side_effect,evidence
POST,/v1/auth/mfa/setup,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/auth/mfa/backup-codes/regenerate,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/auth/logout,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/auth/logout-all,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/auth/sessions/{session_id},DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/auth/staff/{user_id}/invite/resend,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,staff_management,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/auth/staff/{user_id}/schedule,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,staff_management,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
GET,/v1/auth/login-history,READ_ONLY,READ_ONLY_NOT_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,PURE_READ,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/auth/sessions/revoke-all-other,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/tenants/{tenant_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/suspend,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/reinstate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/terminate/begin,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/terminate/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/plan/upgrade,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/plan/downgrade,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/trial/convert,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
PUT,/v1/tenants/{tenant_id}/billing/payment-method,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/data/export,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=True
POST,/v1/tenants/{tenant_id}/data/delete-request,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin;tenant_guard=True;tenants=True
PUT,/v1/tenant/service-areas/{area_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
DELETE,/v1/tenant/service-areas/{area_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
POST,/v1/tenant/service-areas/{area_id}/set-primary,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
POST,/v1/tenant/service-areas/{area_id}/services,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
