method,path,endpoint,previous_status,final_status,closed
POST,/v1/auth/mfa/confirm,confirm_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
POST,/v1/auth/mfa/disable,disable_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
PUT,/v1/auth/me,update_profile,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
PUT,/v1/auth/password/change,change_password,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
POST,/v1/auth/staff/invite,invite_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
POST,/v1/auth/impersonate,impersonate,PERMISSION_ONLY_NOT_SCOPE_AWARE,PLATFORM_ADMIN_ONLY,yes
POST,/v1/auth/api-keys,create_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
PATCH,/v1/auth/api-keys/{key_id},update_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,yes
POST,/v1/auth/change-password-required,change_password_required,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,yes
