file,type
implementation-summary.md,doc
residual-scope-freeze.md,doc
residual-route-runtime-inventory.csv,evidence
expanded-application-file-allow-list.md,doc
historical-artifact-restoration.md,doc
scope-only-mutation-guard-evidence.md,doc
media-router-tenant-authority-audit.csv,evidence
mediaservice-authorization-context.md,doc
service-caller-graph.csv,evidence
object-parent-ownership-audit.csv,evidence
storage-authority-audit.csv,evidence
connected-read-privacy-audit.csv,evidence
signed-token-key-redaction-report.md,doc
database-storage-integrity-report.md,doc
compensation-idempotency-evidence.md,doc
alternate-route-bypass-audit.csv,evidence
internal-caller-preservation.csv,evidence
route-protection-before-after.csv,evidence
canonical-row-diff.csv,evidence
mutation-enforcement-matrix-diff.csv,evidence
canonical-coverage-arithmetic.csv,evidence
current-canonical-coverage.md,doc
protected-n01-non-regression-report.md,report
m01-non-regression-report.md,report
residual-n01-verifier-spec.md,doc
residual-n01-verification-report.md,report
verifier-negative-fixture-report.md,report
targeted-test-report.md,report
behavioral-invariant-report.md,report
baseline-freeze-evidence.md,evidence
deterministic-test-report.md,report
regression-comparison.csv,evidence
environment-test-evidence.md,evidence
regression-report.md,report
product-decisions-required.md,doc
known-limitations.md,doc
deferred-items.md,doc
documentation-corrections.md,doc
test-quality-report.md,report
test-report.md,report
approval-gate.md,doc
artifact-manifest.csv,evidence
