method,path,endpoint_name,capability,guard_before,guard_after,tenant_scoping_mechanism,object_ownership_mechanism,final_classification,verification_level
POST,/v1/provider/team-members,create_team_member,Create team member/technician record,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user) (own tenant only),n/a (new row),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/team-members/{member_id},update_team_member,Update team member record,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
DELETE,/v1/provider/team-members/{member_id},delete_team_member,Soft-delete team member,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/team-members/{member_id}/activate,activate_team_member,Reactivate team member,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/team-members/{member_id}/deactivate,deactivate_team_member,Deactivate team member + revoke linked login sessions,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed); DB+Redis session revocation added (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/team-members/{member_id}/create-login,create_member_login,Create login for team member (unimplemented stub),require_tenant_owner,require_tenant_owner_mutation,n/a (no DB write),n/a,TENANT_OWNER_SELF_SERVICE (stub -- see known-limitations.md),SLICE_2F2_VERIFIED
POST,/v1/provider/availability,create_availability,Create business availability rule,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),n/a (new row),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/availability/{rule_id},update_availability,Update availability rule,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
DELETE,/v1/provider/availability/{rule_id},delete_availability,Delete availability rule,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),DELETE WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/availability/exceptions,create_availability_exception,Create availability exception/holiday,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),n/a (new row),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/availability/exceptions/{exception_id},update_availability_exception,Update availability exception,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),pre-existence check WHERE tenant_id=:tid (already safe pre-slice),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
