method,path,module,assigned_slice
DELETE,/v1/webhooks/endpoints/{endpoint_id},webhook_endpoint_management,2F-35
POST,/v1/rag/query,rag_query,2F-35
POST,/v1/enterprise/saved-views,enterprise_grid_saved_views,2F-36
PUT,/v1/enterprise/saved-views/{view_id},enterprise_grid_saved_views,2F-36
DELETE,/v1/enterprise/saved-views/{view_id},enterprise_grid_saved_views,2F-36
POST,/v1/enterprise/saved-views/{view_id}/set-default,enterprise_grid_saved_views,2F-36
PUT,/v1/enterprise/column-preferences,enterprise_grid_preferences_exports,2F-36
POST,/v1/enterprise/exports,enterprise_grid_preferences_exports,2F-36
POST,/v1/provider/brands/requests,admin_catalog_provider_setup,2F-36
POST,/v1/provider/brands/services/{service_id}/supported,admin_catalog_provider_setup,2F-36
POST,/v1/provider/setup/recommendations,admin_catalog_provider_setup,2F-36
POST,/v1/provider/setup/services/{service_id}/supported-options,admin_catalog_provider_setup,2F-36
PUT,/v1/provider/business-profile,profile_technician_self_service,2F-36
POST,/v1/provider/business-profile/submit-review,profile_technician_self_service,2F-36
PUT,/v1/staff/profile,profile_technician_self_service,2F-36
PUT,/v1/me/profile,profile_universal_self_service,2F-36
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,marketing_automation_provider,2F-36
POST,/v1/provider/marketing/campaigns/generate-launch,marketing_automation_provider,2F-36
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,marketing_automation_provider,2F-36
POST,/v1/provider/reports/run,analytics_provider_reports,2F-36
GET,/v1/commerce/tenants/{tenant_id}/deposit,platform_commerce_deposit,2F-37
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,platform_commerce_deposit,2F-37
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,platform_commerce_deposit,2F-37
