method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention_reason,t_abstention_reason,agree_abstention_reason
POST,/v1/tenants/{tenant_id}/data/export,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,export,export,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,activate,activate,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/tenants/{tenant_id}/suspend,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,deactivate,deactivate,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
PUT,/v1/tenants/{tenant_id},DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,DATABASE_MUTATION,True,geography_serviceability,tenant_governance,False,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
GET,/v1/ds/tenants/{tenant_id}/churn/factors,PURE_READ,PURE_READ,True,analytics,analytics,True,other,other,True,TENANT_PROVIDER_READ,TENANT_PROVIDER_READ,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,DATABASE_MUTATION,DATABASE_MUTATION,True,analytics,analytics,True,other,other,True,TENANT_PROVIDER_READ,TENANT_PROVIDER_READ,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,PURE_READ,DATABASE_MUTATION,False,analytics,analytics,True,other,other,True,TENANT_PROVIDER_READ,TENANT_PROVIDER_READ,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,DATABASE_MUTATION,True,pricing,pricing,True,delete,delete,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,DATABASE_MUTATION,DATABASE_MUTATION,True,package_commerce,package_commerce,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
