canonical_row_key,method,path,route_name,endpoint_function,source_module,engine,capability,model_table,parent_workflow,primary_persona,existing_dependency,existing_permission,mutation_scope,tenant_source,actor_source,object_ownership,parent_child_ownership,assignment_requirement,state_transition,client_controlled_identity_tenant_fields,financial_or_irreversible_side_effect,read_privacy_surface,same_record_alternate_routes,existing_tests,current_primary_gap,verification_level,risk_severity
R-02,POST,/v1/provider/brands/requests,create_brand_request,create_brand_request,app.engines.admin_catalog.brand_provider_router,admin_catalog,brand_request_create,BrandRequest,admin_catalog brand approval,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-create,JWT tenant_id (stamped at create),JWT user_id,no pre-existing object (create),n/a,no,submitted (new record) -> admin review,none (tenant_id server-stamped),no,none beyond own tenant's brand requests,none found,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-03,POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,set_supported_brands,app.engines.admin_catalog.brand_provider_router,admin_catalog,brand_support_mapping_set,ServiceBrandSupport (service_id parent),admin_catalog brand-to-service mapping,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-upsert,JWT tenant_id,JWT user_id,mapping keyed by service_id (parent),service_id parent-tenant ownership NOT verified at router layer (confirmed by reading source below),no,upsert (idempotent set),service_id path param client-controlled,no,none beyond own tenant's service catalog,none found,none found,PARENT_CHILD_OWNERSHIP_MISSING (secondary: PERMISSION_ONLY_NOT_SCOPE_AWARE),VERIFIED,LOW
R-04,PUT,/v1/provider/business-profile,update_business_profile,update_business_profile,app.engines.profile.router,profile,business_profile_update,TenantBusinessProfile,tenant self-profile,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-update,JWT tenant_id,JWT user_id,self-tenant by construction (profile keyed to caller's own tenant_id),n/a,no,draft/active fields updated in place,none (tenant_id server-derived),no,tenant's own business profile only,none found,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW-MEDIUM
R-05,POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,submit_business_profile_for_review,app.engines.profile.router,profile,business_profile_review_submit,TenantBusinessProfile,tenant self-profile review workflow,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-state-transition,JWT tenant_id,JWT user_id,self-tenant by construction,n/a,no,draft -> pending_review,none (tenant_id server-derived),no,tenant's own business profile only,none found,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE (secondary: STATE_TRANSITION_UNVERIFIED),VERIFIED,LOW-MEDIUM
R-12,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,marketing_automation,marketing_asset_notes_update,MarketingAsset,marketing automation,tenant_owner/staff (any authenticated),get_current_user only,none,write-update,JWT tenant_id (unverified against asset_id ownership -- needs investigation),JWT user_id,asset_id ownership NOT verified at router layer,no explicit parent-child check found,no,notes field updated in place,asset_id path param client-controlled; NO role gate at all,no,tenant's own marketing asset notes (unverified),none found,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (secondary: TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP),VERIFIED,MEDIUM
R-13,POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,generate_launch_campaign,app.engines.marketing_automation.provider_router,marketing_automation,marketing_campaign_generate,MarketingCampaign,marketing automation,tenant_owner/staff (any authenticated),get_current_user only,none,write-create,JWT tenant_id (unverified),JWT user_id,n/a (create),n/a,no,none (new) -> draft,none (tenant_id server-derived at create time -- unverified whether trusted from payload),possibly (campaign creation + review state),tenant's own marketing campaigns (unverified),none found,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,VERIFIED,MEDIUM
R-14,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,submit_campaign_review,app.engines.marketing_automation.provider_router,marketing_automation,marketing_campaign_review_submit,MarketingCampaign,marketing automation,tenant_owner/staff (any authenticated),get_current_user only,none,write-state-transition,JWT tenant_id (unverified against campaign_id ownership),JWT user_id,campaign_id ownership NOT verified at router layer,no explicit parent-child check found,no,draft -> pending_review,campaign_id path param client-controlled; NO role gate at all,possibly (review state transition),tenant's own marketing campaign (unverified),none found,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (secondary: TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP + STATE_TRANSITION_UNVERIFIED),VERIFIED,MEDIUM
R-15,POST,/v1/provider/profile/logo,upload_provider_logo,upload_provider_logo,app.engines.media.new_router,media,media_upload,MediaAsset (media_context=provider_logo),tenant profile media,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-create,JWT tenant_id,JWT user_id,self-owned by construction (own tenant logo),n/a,no,none (new) -> active,none (tenant_id server-derived),no,own tenant's logo asset only,shares media.new_router with R-16/17/18/25/26,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-16,DELETE,/v1/provider/profile/logo,remove_provider_logo,remove_provider_logo,app.engines.media.new_router,media,media_delete,MediaAsset,tenant profile media,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-delete (irreversible for the asset row),JWT tenant_id,JWT user_id,self-owned by construction,n/a,no,active -> deleted,none (tenant_id server-derived),no (delete is destructive but no PII exposure),own tenant's logo asset only,shares media.new_router with R-15/17/18/25/26,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-17,POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,upload_provider_shop_photo,app.engines.media.new_router,media,media_upload,MediaAsset (media_context=shop_photo),tenant profile media,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-create,JWT tenant_id,JWT user_id,self-owned by construction,n/a,no,none (new) -> active,none (tenant_id server-derived),no,own tenant's shop photo asset only,shares media.new_router with R-15/16/18/25/26,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-18,DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,remove_provider_shop_photo,app.engines.media.new_router,media,media_delete,MediaAsset,tenant profile media,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-delete,JWT tenant_id,JWT user_id,self-owned by construction,n/a,no,active -> deleted,none (tenant_id server-derived),no,own tenant's shop photo asset only,shares media.new_router with R-15/16/17/25/26,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-19,POST,/v1/provider/reports/run,provider_run_report,provider_run_report,app.engines.analytics.provider_router,analytics,analytics_report_run,AnalyticsReport (or similar),tenant analytics,tenant_owner/staff (any authenticated),get_current_user only,none,write-create (report-run record),JWT tenant_id (unverified),JWT user_id,"n/a (create scoped to caller tenant, unverified)",n/a,no,none (new) -> queued/complete,"none (tenant_id server-derived, low-traffic route)",no (creates a metadata record; underlying report reads are tenant's own analytics),tenant's own analytics only (unverified),none found,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,VERIFIED,LOW
R-20,POST,/v1/provider/reviews/{review_id}/flag,flag_review,flag_review,app.engines.customer_reviews.provider_router,customer_reviews,review_flag,CustomerReview,public review moderation,tenant_owner/staff (any authenticated),get_current_user only,none,write-update (flag flag),JWT tenant_id (unverified against review_id ownership),JWT user_id,review_id ownership NOT verified at router layer,no explicit parent-child check found,no,active -> flagged (moderation state),review_id path param client-controlled; NO role gate at all,no,public review content -- moderation-only side effect,shares customer_reviews.provider_router with R-21,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (secondary: TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP),VERIFIED,MEDIUM
R-21,POST,/v1/provider/reviews/{review_id}/reply,submit_reply,submit_reply,app.engines.customer_reviews.provider_router,customer_reviews,review_reply,CustomerReview,public-facing provider reply,tenant_owner/staff (any authenticated),get_current_user only,none,write-create (public-facing content),JWT tenant_id (unverified against review_id ownership),JWT user_id,review_id ownership NOT verified at router layer -- public-facing impersonation risk,no explicit parent-child check found,no,none (new reply) -> published,review_id path param client-controlled; NO role gate at all -- any authenticated tenant/staff user can reply as ANY provider,no (public-facing content authored under review's actual provider identity regardless of caller's tenant),public-facing reply content -- impersonation risk is the core gap,shares customer_reviews.provider_router with R-20,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (secondary: TENANT_OWNERSHIP_WITHOUT_OBJECT_OWNERSHIP),VERIFIED,MEDIUM
R-22,POST,/v1/provider/setup/recommendations,provider_setup_recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,admin_catalog,setup_recommendation_generate,SetupRecommendation,tenant onboarding,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-create,JWT tenant_id,JWT user_id,self-tenant by construction,n/a,no,none (new) -> generated,none (tenant_id server-derived),no,tenant's own setup recommendations only,none found,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-23,POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,admin_catalog,service_option_mapping_set,ServiceOptionSupport (service_id parent),tenant catalog setup,tenant_owner/staff (require_technician),require_technician+get_current_user,none,write-upsert,JWT tenant_id,JWT user_id,mapping keyed by service_id (parent),service_id parent-tenant ownership NOT verified at router layer,no,upsert (idempotent set),service_id path param client-controlled,no,tenant's own service catalog only,none found,none found,PARENT_CHILD_OWNERSHIP_MISSING (secondary: PERMISSION_ONLY_NOT_SCOPE_AWARE),VERIFIED,LOW
R-24,PUT,/v1/staff/profile,update_staff_profile,update_staff_profile,app.engines.profile.router,profile,staff_profile_update,StaffProfile,staff self-profile,technician/staff (require_technician),require_technician+get_current_user,none,write-update,JWT tenant_id,JWT user_id,self-identity by construction,n/a,no,fields updated in place,none (identity server-derived from JWT),no,own staff profile only,none found,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
R-25,POST,/v1/staff/profile/photo,upload_staff_profile_photo,upload_staff_profile_photo,app.engines.media.new_router,media,media_upload,MediaAsset (media_context=staff_profile_photo),staff self-profile media,technician/staff (require_technician),require_technician+get_current_user,none,write-create,JWT tenant_id,JWT user_id,self-owned by construction,n/a,no,none (new) -> active,none (identity server-derived),no,own staff profile photo only,shares media.new_router with R-15/16/17/18/26,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,VERIFIED,LOW
