stratum,method,path,endpoint,module,prior_exposure
01_platform_admin_targets_tenant,DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,app.engines.tenant_engine.router,none_to_new_classifier
01_platform_admin_targets_tenant,POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,app.engines.tenant_engine.router,none_to_new_classifier
01_platform_admin_targets_tenant,POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,app.engines.tenant_engine.router,none_to_new_classifier
01_platform_admin_targets_tenant,POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,app.engines.tenant_engine.router,none_to_new_classifier
02_tenant_owner_mutation,DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,app.engines.serviceability.router,none_to_new_classifier
02_tenant_owner_mutation,POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,app.engines.serviceability.router,none_to_new_classifier
02_tenant_owner_mutation,PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},update_item,app.engines.field_ops.checklist_router,none_to_new_classifier
06_provider_surface,POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,app.engines.platform_notifications.provider_router,CONTROL_FIXTURE_NOT_BLIND
06_provider_surface,POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,app.engines.platform_notifications.provider_router,none_to_new_classifier
11_client_supplied_target_tenant,DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},delete_file,app.engines.media.router,none_to_new_classifier
11_client_supplied_target_tenant,GET,/v1/ds/tenants/{tenant_id}/churn/score,get_churn_score,app.engines.data_science.router,none_to_new_classifier
11_client_supplied_target_tenant,POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,admin_adjust_deposit,app.engines.platform_commerce.router,none_to_new_classifier
11_client_supplied_target_tenant,POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,update_location,app.engines.geo.router,none_to_new_classifier
11_client_supplied_target_tenant,POST,/v1/pricing/tenants/{tenant_id}/rules,create_rule,app.engines.pricing.router,none_to_new_classifier
15_generic_prefix,DELETE,/v1/appointments/calendar/blocks/{block_id},unblock_calendar,app.engines.appointment.router,none_to_new_classifier
15_generic_prefix,POST,/v1/appointments/staff/{staff_id}/calendar/block,block_calendar,app.engines.appointment.router,none_to_new_classifier
15_generic_prefix,POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,none_to_new_classifier
15_generic_prefix,POST,/v1/compliance/consent,record_consent,app.engines.compliance.router,none_to_new_classifier
15_generic_prefix,POST,/v1/documents,generate_doc,app.engines.document.router,none_to_new_classifier
15_generic_prefix,POST,/v1/inventory/reservations/confirm,confirm_reservation,app.engines.inventory.router,none_to_new_classifier
15_generic_prefix,POST,/v1/pricing/compute,compute_price,app.engines.pricing.router,none_to_new_classifier
15_generic_prefix,POST,/v1/security/audit-log,write_audit,app.engines.security.router,none_to_new_classifier
20_mutating_get,GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,none_to_new_classifier
20_mutating_get,GET,/v1/enterprise/exports/{export_id}/download,download_export,app.engines.enterprise_grid.router,none_to_new_classifier
