component,status,file
PipelineAwareBookingDetail,NEW,components/ux04/PipelineAwareBookingDetail.tsx
StatusTransitionPanel,NEW,components/ux04/StatusTransitionPanel.tsx
ComplaintWorkspace,NEW,components/ux04/ComplaintWorkspace.tsx
DisputePresentation,NEW,components/ux04/ComplaintWorkspace.tsx (same file, second export)
EvidenceGallery,NEW,components/ux04/EvidenceGallery.tsx
SLAExplanation,NEW,components/ux04/SLAExplanation.tsx
InvoicePaymentSummary,NEW,components/ux04/InvoicePaymentSummary.tsx
InspectionSummary,NEW,components/ux04/InspectionSummary.tsx
SLAIndicator,UNCHANGED,components/ux04/SLAIndicator.tsx
JobStatusTimeline,UNCHANGED,components/ux04/JobStatusTimeline.tsx
OperationalActionQueue,UNCHANGED,components/ux04/OperationalActionQueue.tsx
AssignmentCandidateCard,UNCHANGED,components/ux04/AssignmentCandidateCard.tsx
QuoteSummary,UNCHANGED,components/ux04/QuoteSummary.tsx
ChecklistProgress,UNCHANGED,components/ux04/ChecklistProgress.tsx (mode="technician_execution" now exercised by a route for the first time)
PartsRequestSummary,UNCHANGED,components/ux04/PartsRequestSummary.tsx (reused in the new read-only route)
CreditCommissionSummary,UNCHANGED,components/ux04/CreditCommissionSummary.tsx
CustomerCommunicationTimeline,UNCHANGED,components/ux04/CustomerCommunicationTimeline.tsx
OperationalRiskBanner,UNCHANGED,components/ux04/OperationalRiskBanner.tsx (embedded in a route for the first time this pass)
