workflow_name,role,user_goal,canonical_record,canonical_model,step_count,verification,notes
Business registration,tenant_owner (pre-activation)/guest,Create a tenant account,TenantOnboardingRequest,tenant_engine.models,3,SOURCE_VERIFIED,public signup then admin review
Business profile completion,tenant_owner,Complete profile so verification can proceed,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Address/service region setup,tenant_owner,Define coverage area,TenantServiceArea,admin_catalog/HS5 models,1,SOURCE_VERIFIED,
Manager/staff setup,tenant_owner,Add team members,User+StaffPermission,auth.models,1,SOURCE_VERIFIED,
Document submission,tenant_owner,Submit verification docs,Tenant (documents field)/media,media engine,1,SOURCE_VERIFIED,
Verification review,super_admin,Approve/reject business,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Admin approval,super_admin,Activate tenant,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Request changes,super_admin,Send business back for fixes,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Rejection,super_admin,Reject business application,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Package selection,tenant_owner,Choose a package,TenantPackageAssignment,package_commerce.models,1,RUNTIME_VERIFIED,canonical since L5-30; TenantPackagePurchase legacy sibling still present
Security deposit,tenant_owner,Pay security deposit,(deprecated 410 in package_commerce),package_commerce,1,SOURCE_VERIFIED,legacy endpoints explicitly 410'd; canonical replacement location UNVERIFIED in this pass
Credit activation,tenant_owner,Activate usage credits,UsageCreditLedger,usage_credits engine,1,RUNTIME_VERIFIED,canonical per FINAL-L5-05J
Business activation,super_admin,Turn tenant live,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Suspension/reactivation,super_admin,Suspend/reactivate tenant,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Offboarding,super_admin,Terminate tenant,Tenant,tenant_engine.models,1,SOURCE_VERIFIED,
Category management,super_admin,Manage service categories,ServiceCategory,vertical_catalog/admin_catalog,1,SOURCE_VERIFIED,
Service creation,super_admin/tenant_owner,Create a service,Service,admin_catalog.models,1,SOURCE_VERIFIED,
Service type/option mgmt,super_admin,Manage service types/options,ServiceOption,admin_catalog.models,1,SOURCE_VERIFIED,
Brand assignment,super_admin/tenant_owner,Assign supported brands,Brand,admin_catalog.models,1,SOURCE_VERIFIED,legacy brands/*_router.py disconnected, canonical is admin_catalog/brand_*router.py
Pricing model/base price,tenant_owner,Set base pricing,PricingRule,pricing engine,1,SOURCE_VERIFIED,
Geographic price override,tenant_owner,Set area-specific pricing,PricingOverride,pricing engine,1,SOURCE_VERIFIED,
Commission configuration,super_admin,Set commission rate,TenantPackageAssignment(commission fields),package_commerce,1,RUNTIME_VERIFIED,fixed L5-32 off legacy purchases table
Service area/zone assignment,tenant_owner,Define zones/districts,TenantServiceArea,HS5 models,1,SOURCE_VERIFIED,
Service publication,tenant_owner,Publish service live,Service (publish flag),admin_catalog,1,SOURCE_VERIFIED,
Manager/staff invitation,tenant_owner,Invite staff,User,auth.models,1,SOURCE_VERIFIED,
Technician onboarding,tenant_owner,Onboard technician,User+StaffProfile,auth/provider_portal,1,SOURCE_VERIFIED,
Skill/availability setup,technician/tenant_owner,Configure skills+hours,StaffProfile,provider_portal.models,1,SOURCE_VERIFIED,
Technician activation/suspension,tenant_owner,Enable/disable technician,User,auth.models,1,SOURCE_VERIFIED,
