method,path,endpoint_name,model_table,service_method,ownership_mechanism,state_validation,final_classification,verification_level
POST,/v1/staff/real-estate-leads/{lead_id}/accept,agent_accept,RealEstateLead/real_estate_leads,accept_lead,tenant_id filter + _assert_agent_owns_lead (existing) + require_owner_or_office_staff_mutation (fixed),_set_status validates LEAD_TRANSITIONS before mutating (existing),TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/reject,agent_reject,RealEstateLead,reject_lead,same,same + reason required,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/mark-contacted,agent_mark_contacted,RealEstateLead,mark_contacted,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/schedule-follow-up,agent_follow_up,RealEstateLead,schedule_follow_up,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/plan-site-visit,agent_plan_site_visit,RealEstateLead,plan_site_visit,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/complete-site-visit,agent_complete_site_visit,RealEstateLead,complete_site_visit,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/qualify,agent_qualify,RealEstateLead,qualify_lead,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/disqualify,agent_disqualify,RealEstateLead,disqualify_lead,same,same + reason required,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/convert,agent_convert,RealEstateLead,convert_lead,same,same,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/close-lost,agent_close_lost,RealEstateLead,close_lost,same,same + reason required,TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
POST,/v1/staff/real-estate-leads/{lead_id}/notes,agent_add_note,RealEstateLeadNote/real_estate_lead_notes,add_note,tenant_id filter + _assert_agent_owns_lead (existing) + require_owner_or_office_staff_mutation (fixed),n/a (append-only),TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION,SLICE_2F11_VERIFIED
GET,/v1/staff/real-estate-leads/{lead_id}/timeline,agent_timeline,RealEstateLeadExecutionEvent,get_timeline,tenant_id filter (existing) + require_staff_or_above (fixed),n/a (read),ASSIGNED_CANONICAL_STAFF_ONLY (read; broader role set than mutations -- includes technician, no evidence to exclude for a read),SLICE_2F11_VERIFIED
GET,/v1/provider/real-estate-leads/{lead_id}/timeline,provider_timeline,RealEstateLeadExecutionEvent,get_timeline,tenant_id filter (existing) + require_staff_or_above (fixed),n/a (read),TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (read),SLICE_2F11_VERIFIED
GET,/v1/provider/real-estate-leads/{lead_id}/notes,provider_notes,RealEstateLeadNote,get_notes,tenant_id filter (existing) + require_staff_or_above (fixed),n/a (read),TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (read),SLICE_2F11_VERIFIED
GET,/v1/customer/real-estate-leads/{lead_id}/tracking,customer_tracking,RealEstateLead,inline query + get_notes(customer_only=True),customer_id == principal (existing inline query) + require_customer (fixed),n/a (read),CUSTOMER_INQUIRY_MUTATION (read-only self-service),SLICE_2F11_VERIFIED
GET,/v1/admin/real-estate-leads/{lead_id}/execution-timeline,admin_timeline,RealEstateLeadExecutionEvent,get_timeline,require_super_admin (pre-existing, unmodified),n/a (read),PLATFORM_REAL_ESTATE_ADMIN_ONLY,SLICE_2F9-era_VERIFIED (unmodified, re-confirmed this slice)
GET,/v1/admin/real-estate-leads/{lead_id}/notes,admin_notes,RealEstateLeadNote,get_notes,require_super_admin (pre-existing, unmodified),n/a (read),PLATFORM_REAL_ESTATE_ADMIN_ONLY,re-confirmed this slice
