method,path,endpoint_name,router_module,record_model,guard_status,reachable_at_runtime,capability
POST,/v1/admin/service-jobs/{job_id}/force-close,admin_force_close,app.engines.execution.home_service_router,ServiceJob (final_records),PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,Admin force-close a job
POST,/v1/admin/service-jobs/{job_id}/status-override,admin_override_status,app.engines.execution.home_service_router,ServiceJob (final_records),PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,Admin override job status
POST,/v1/admin/service-jobs/{job_id}/void,admin_void,app.engines.execution.home_service_router,ServiceJob (final_records),PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,Admin void a job
POST,/v1/provider/service-jobs/{job_id}/cancel,provider_cancel_job,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Provider cancels the whole job (distinct from cancel-assignment)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/approve,provider_approve_parts_request,app.engines.execution.home_service_router,PartsRequest (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Provider approves a parts request
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/install,provider_install_parts_request,app.engines.execution.home_service_router,PartsRequest (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Provider marks parts installed (provider-only per prior slice)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/reject,provider_reject_parts_request,app.engines.execution.home_service_router,PartsRequest (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Provider rejects a parts request
POST,/v1/staff/service-jobs/{job_id}/accept,staff_accept_job,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,NO -- shadowed (see canonical-route-disposition.csv),Staff accept job (DEAD CODE at this path)
POST,/v1/staff/service-jobs/{job_id}/complete,staff_complete_job,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff completes job
POST,/v1/staff/service-jobs/{job_id}/complete-inspection,staff_complete_inspection,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff completes inspection phase
POST,/v1/staff/service-jobs/{job_id}/customer-not-available,staff_customer_not_available,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff marks customer not available
POST,/v1/staff/service-jobs/{job_id}/diagnosis-notes,staff_add_diagnosis_note,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff adds a diagnosis note
POST,/v1/staff/service-jobs/{job_id}/media,staff_upload_media,app.engines.execution.home_service_router,ServiceJobMediaUpload (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff uploads evidence/media
POST,/v1/staff/service-jobs/{job_id}/notes,staff_add_note,app.engines.execution.home_service_router,ServiceJobExecutionNote (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff adds a general note
POST,/v1/staff/service-jobs/{job_id}/on-the-way,staff_on_the_way,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff marks en-route
POST,/v1/staff/service-jobs/{job_id}/parts-requests,staff_create_parts_request,app.engines.execution.home_service_router,PartsRequest (job_id-linked),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Technician creates parts request (ServiceJob-only per Workstream 11)
POST,/v1/staff/service-jobs/{job_id}/parts-required,staff_parts_required,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff flags parts required
POST,/v1/staff/service-jobs/{job_id}/quote-required,staff_quote_required,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff flags quote required
POST,/v1/staff/service-jobs/{job_id}/reached-site,staff_reached_site,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff marks arrival at site
POST,/v1/staff/service-jobs/{job_id}/reject,staff_reject_job,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,NO -- shadowed (see canonical-route-disposition.csv),Staff reject job (DEAD CODE at this path)
POST,/v1/staff/service-jobs/{job_id}/start-inspection,staff_start_inspection,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff starts inspection phase
POST,/v1/staff/service-jobs/{job_id}/start-service,staff_start_service,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff starts service work
POST,/v1/staff/service-jobs/{job_id}/work-done,staff_work_done,app.engines.execution.home_service_router,ServiceJob (final_records),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,Staff marks work done
POST,/v1/staff/service-jobs/{job_id}/accept,accept_job,app.engines.home_service_assignment.staff_router,ServiceJob (final_records) + ServiceJobAssignment,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES -- wins the shadow (registered first in app/main.py),Technician accepts assigned job (canonical -- the ONLY reachable implementation at this path)
POST,/v1/staff/service-jobs/{job_id}/reject,reject_job,app.engines.home_service_assignment.staff_router,ServiceJob (final_records) + ServiceJobAssignment,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES -- wins the shadow (registered first in app/main.py),Technician rejects assigned job (canonical -- the ONLY reachable implementation at this path)
