required_filename,actual_filename,status,consolidated_into,reason,evidence_source
implementation-summary.md,implementation-summary.md,PRESENT,,,this slice
branch-worktree-baseline.md,branch-worktree-baseline.md,PRESENT,,,this slice
worktree-interference-guard.md,worktree-interference-guard.md,PRESENT,,,this slice
baseline-freeze.md,baseline-freeze.md,PRESENT,,,this slice
api-key-sibling-revalidation.md,api-key-sibling-revalidation.md,PRESENT,,,this slice
six-defect-remediation-report.md,six-defect-remediation-report.md,PRESENT,,,this slice
final-route-classification.csv,final-route-classification.csv,PRESENT,,"successor entries for the 8 routes reclassified/reconfirmed this slice, not a full re-dump of prior slices' rows",this slice
targeted-test-report.md,targeted-test-report.md,PRESENT,,,this slice
phase2f-regression-report.md,phase2f-regression-report.md,PRESENT,,,this slice
full-backend-regression-diff.md,full-backend-regression-diff.md,PRESENT,,,this slice
backend-file-change-report.md,backend-file-change-report.md,PRESENT,,,this slice
frontend-non-change-report.md,frontend-non-change-report.md,PRESENT,,,this slice
known-limitations.md,known-limitations.md,PRESENT,,,this slice
deferred-items.md,deferred-items.md,PRESENT,,,this slice
final-status-rationale.md,final-status-rationale.md,PRESENT,,,this slice
approval-gate.md,approval-gate.md,PRESENT,,,this slice
artifact-manifest.csv,artifact-manifest.csv,PRESENT,,,this slice
verifier-spec.md,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no dedicated 2F-39A2R verifier was in this slice's required set -- remediation was proven via 13 targeted tests instead; see known-limitations.md",n/a
