method,path,endpoint,repository_module,module,guard_status,mounted,canonical_row,primary_gap,secondary_gaps,provenance
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,N06_provider_catalog_setup,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,N06_provider_catalog_setup,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,object addressed by id (ownership proof required),2F-26/earlier
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,N03_profile_self_service,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,N03_profile_self_service,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,N04_marketing_automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required),2F-26/earlier
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,N04_marketing_automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,N04_marketing_automation,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required),2F-26/earlier
POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,destructive delete,2F-26/earlier
POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,destructive delete,2F-26/earlier
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,N07_analytics_reports,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,N06_provider_catalog_setup,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,N06_provider_catalog_setup,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,object addressed by id (ownership proof required),2F-26/earlier
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,N03_profile_self_service,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/staff/profile/photo,upload_staff_profile_photo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/staff/profile/photo,remove_staff_profile_photo,app.engines.media.new_router,N01_media_assets,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,yes,present (1),role gate without mutation access-scope enforcement,destructive delete,2F-26/earlier
POST,/v1/rag/query,query,app.engines.rag.router,N08_rag_knowledge,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/media/upload,upload_media,app.engines.media.new_router,N01_media_assets,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
