canonical_row_key,method,path,mounted_confirmed,endpoint_confirmed,live_guard_status,genuine_state_change,classification
CR-01,POST,/v1/provider/reviews/{review_id}/reply,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
CR-02,POST,/v1/provider/reviews/{review_id}/flag,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
MA-01,POST,/v1/provider/marketing/campaigns/generate-launch,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
MA-02,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
MA-03,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
AN-01,POST,/v1/provider/reports/run,YES,YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-01,POST,/v1/provider/profile/logo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-02,DELETE,/v1/provider/profile/logo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-03,POST,/v1/provider/profile/shop-photo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-04,DELETE,/v1/provider/profile/shop-photo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-05,POST,/v1/staff/profile/photo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
ME-06,DELETE,/v1/staff/profile/photo,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
PR-01,PUT,/v1/provider/business-profile,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
PR-02,POST,/v1/provider/business-profile/submit-review,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
PR-03,PUT,/v1/staff/profile,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
BR-01,POST,/v1/provider/brands/requests,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
BR-02,POST,/v1/provider/brands/services/{service_id}/supported,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
RC-01,POST,/v1/provider/setup/recommendations,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
SO-01,POST,/v1/provider/setup/services/{service_id}/supported-options,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,YES,GENUINE_UNPROTECTED_TENANT_MUTATION
