method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention_reason,t_abstention_reason,agree_abstention_reason
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,deactivate,create,False,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/tenants/{tenant_id}/plan/downgrade,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/tenants/{tenant_id}/terminate/begin,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,deactivate,deactivate,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
PUT,/v1/tenants/{tenant_id}/billing/payment-method,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
GET,/v1/media/signed/{token},PURE_READ,PURE_READ,True,media,media,True,other,other,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
DELETE,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,delete,delete,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,DATABASE_MUTATION,DATABASE_MUTATION,True,analytics,analytics,True,recalculate,recalculate,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/geo/tenants/{tenant_id}/zones,DATABASE_MUTATION,DATABASE_MUTATION,True,geography_serviceability,geography_serviceability,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/pricing/tenants/{tenant_id}/prices/set,DATABASE_MUTATION,DATABASE_MUTATION,True,pricing,pricing,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
