module,severity,exposed_to_any_role,cross_tenant_write_potential,customer_data_impact,financial_impact,lifecycle_impact,identity_impact,destructive_irreversible,bulk_impact,alternate_route_bypass,route_count,tests,runtime_verification,production_caller_evidence,data_sensitivity,regulatory_impact,exploitability,blast_radius,business_criticality,implementation_confidence,product_policy_dependency
app.engines.platform_notifications.provider_router,CRITICAL,yes (zero auth -- ANY authenticated user incl. customer/technician),yes (thread/notification creation has no tenant check confirmed),yes (chat message content could include customer PII),low direct,low direct,low,no,no,none found,10,none,supports (AUTHENTICATED_ONLY_NO_PERMISSION_CHECK classification),yes (tenant-portal chat UI),high (business communications),none,HIGH,HIGH (any authenticated account, cross-tenant),HIGH (chat/notification is core business communication),HIGH,none
app.engines.compliance.provider_router,HIGH,no (permission-gated, but scope-unaware),unlikely (permission already restricts to tenant-scoped roles),yes (DPDP data-subject requests are inherently customer-PII-sensitive),low direct,low,low,no (export generation may be irreversible in effect once emailed),no,none found,6,none,supports (PERMISSION_ONLY_NOT_SCOPE_AWARE),yes (tenant-portal compliance UI likely),high (DPDP/data-privacy regulatory data),CRITICAL (DPDP compliance),MEDIUM (requires an already-permissioned but read-only-scoped account),MEDIUM,HIGH (regulatory),MEDIUM,none
app.engines.media.new_router,MEDIUM,no (permission-gated),unlikely,low (logo/photo assets, not customer PII),none,none,low (impersonation via defaced logo is reputational, not financial),yes (delete operations),no,none found,6,none,supports,likely,low-medium,none,MEDIUM,LOW,LOW,HIGH,none
app.engines.profile.router,MEDIUM,no (permission-gated),unlikely,low,none,none,medium (business profile misrepresentation),no,no,none found,3,none,supports,likely,low-medium,none,MEDIUM,LOW,LOW,HIGH,none
app.engines.marketing_automation.provider_router,MEDIUM,yes (zero auth on 3 routes),unlikely (limited real-world caller evidence),low,low (campaign spend implications possible),none,low,no,possible (bulk campaign generation),none found,3,none,supports (AUTHENTICATED_ONLY_NO_PERMISSION_CHECK),uncertain,low,none,MEDIUM,MEDIUM,LOW,MEDIUM,none
app.engines.customer_reviews.provider_router,MEDIUM,yes (zero auth),unlikely,medium (review content is customer-authored, provider reply is public-facing),none,none,medium (provider impersonation in a public reply is reputational),no,no,none found,2,none,supports (AUTHENTICATED_ONLY_NO_PERMISSION_CHECK),likely (public review system),medium (public-facing content),none,MEDIUM,MEDIUM,MEDIUM,HIGH,none
app.engines.admin_catalog.brand_provider_router,LOW,no (permission-gated),unlikely,none,none,none,none,no,no,none found,2,none,supports,uncertain,low,none,LOW,LOW,LOW,HIGH,none
app.engines.analytics.provider_router,LOW,yes (zero auth on 1 route),unlikely,low,none,none,none,no,possible (report generation cost),none found,1,none,supports,uncertain,low,none,LOW,LOW,LOW,HIGH,none
app.engines.admin_catalog.recommendation_router,LOW,no,unlikely,none,none,none,none,no,no,none found,1,none,supports,uncertain,low,none,LOW,LOW,LOW,HIGH,none
app.engines.admin_catalog.service_option_provider_router,LOW,no,unlikely,none,none,none,none,no,no,none found,1,none,supports,uncertain,low,none,LOW,LOW,LOW,HIGH,none
app.engines.package_commerce.tenant_router,MEDIUM,no (permission-gated),unlikely,none,yes (package purchase is a financial/entitlement transaction),none,none,possible (entitlement grant is hard to reverse cleanly),no,none found,1,none,supports,likely,medium (financial),none,MEDIUM,LOW,MEDIUM,HIGH,none
