observation_route,related_module,canonical_or_held,executed,confidence,in_selected_module,note
POST /v1/security/sessions/{session_id}/revoke,no canonical module (security.router - separate subsystem),not canonical,no,HIGH,no,static observation - not a proven exploit
POST /v1/security/audit-log,no canonical module (security.router),not canonical,no,MEDIUM,no,static observation - not a proven exploit
DELETE /v1/pricing/tenants/{tenant_id}/rules/{rule_id},"no canonical module (pricing engine, held)",held/adjacent,no,HIGH,no,static observation - not a proven exploit
DELETE /v1/rag/knowledge-bases/{kb_id},N08_rag_knowledge (held),held/adjacent,no,MEDIUM,no,static observation - not a proven exploit
DELETE /v1/media/{media_id},N01_media_assets (held/adjacent - NOT canonical),held/adjacent,no,MEDIUM,yes,static observation - not a proven exploit
DELETE /v1/rag/documents/{doc_id},N08_rag_knowledge (held),held/adjacent,no,MEDIUM,no,static observation - not a proven exploit
POST /v1/commerce/tenants/{tenant_id}/badges/recalculate,"N05_security_deposit boundary (commerce, held)",held/adjacent,no,MEDIUM,no,static observation - not a proven exploit
DELETE /v1/webhooks/endpoints/{endpoint_id},"N09_webhook_integration (CANONICAL, unprotected)",CANONICAL,no,MEDIUM,no,static observation - not a proven exploit
DELETE /v1/geo/zones/{zone_id},"N10_geo_zones (CANONICAL, unprotected)",CANONICAL,no,HIGH,no,static observation - not a proven exploit
(+28 further observations carried in 2F-26H/2F-27 registries),carry-forward,not canonical,no,LOW-MEDIUM,no,static observation - not a proven exploit
