module,mounted_tenant_mutations,access_scope_protected,permission_only,role_only,authenticated_only,no_guard,unverified,cross_tenant_risk,user_role_admin_risk,finance_credit_risk,pricing_risk,business_config_risk,destructive_count,bulk_count,alternate_route_count,direct_db_mutation_count,frontend_caller_count,existing_test_depth,product_ambiguity,risk_score,priority_rank
app.engines.invoice_payment.provider_router,4,0 (pre-slice),0,0,4,0,4,LOW (tenant_id server-derived not client-supplied),NONE,HIGH (invoice issue + on-site payment recording -- real money handling),NONE,NONE,0,0,0 (customer_router/admin_router are distinct personas not weaker alternates),0,4 (tenant-portal),existing (sprint23 bug-fix tests only, no auth tests),LOW (FIELD_OPS_INVOICE_GEN/FIELD_OPS_JOBS_CLOSE already evidence the intended persona split),9.0,1 (SELECTED)
app.engines.serviceability.router,8,0,8,0,0,0,8,MEDIUM (zip/zone coverage records could target another tenant's coverage if not scoped),NONE,NONE,NONE,MEDIUM (service-area/zone coverage is business-wide config),0,likely (bulk zone enable/disable plausible),unknown,0,unknown,none found,MEDIUM,7.5,2
app.engines.admin_catalog.tenant_router,10,9,0 (already mostly TENANT_MUTATION_PERMISSION_SCOPE_AWARE),0,1,0,1,LOW (already scope-aware for 9/10),NONE,NONE,MEDIUM (catalog pricing-adjacent),MEDIUM,0,possible,unknown,0,unknown,partial (9/10 already closed in a prior slice not documented in this series' module list),LOW,4.0,3
app.engines.complaints.provider_router,9,0,0,0,9,0,9,LOW-MEDIUM (complaint records could be cross-tenant if IDOR-able),NONE,NONE,NONE,LOW,unknown,unknown,unknown,0,unknown,none found,MEDIUM,5.0,4
app.engines.execution.real_estate_router,11,0,0,0,11,0,11,MEDIUM (real-estate lead/listing records),NONE,NONE,LOW,LOW,unknown,unknown,unknown,0,unknown,none found,MEDIUM (real_estate is a distinct vertical, product scope unclear),4.5,5
app.engines.execution.coaching_router,8,0,0,0,8,0,8,MEDIUM,NONE,NONE,LOW,LOW,unknown,unknown,unknown,0,unknown,none found,MEDIUM (coaching vertical, product scope unclear),4.0,6
app.engines.field_ops.checklist_router,6,0,6,0,0,0,6,LOW,NONE,NONE,NONE,LOW,unknown,unknown,unknown,0,unknown,none found,LOW,3.0,7
app.engines.field_ops.staff_router,6,0,0,0,6,0,6,LOW-MEDIUM (staff acting on jobs -- likely overlaps home_service_assignment.staff_router's already-closed territory),NONE,NONE,NONE,LOW,unknown,unknown,HIGH (may be a legacy/compatibility duplicate of the already-closed staff execution pipeline),0,unknown,none found,HIGH (ownership/duplication vs. already-closed module unclear without deep investigation),3.5,8
app.engines.compliance.provider_router,6,0,6,0,0,0,6,LOW,NONE,NONE,NONE,LOW,unknown,unknown,unknown,0,unknown,none found,LOW,3.0,9
app.engines.platform_notifications.provider_router,10,0,0,0,10,0,10,LOW,NONE,NONE,NONE,NONE (notification config, not business-wide),unknown,likely (bulk notification actions),unknown,0,unknown,none found,LOW,2.0,10
app.engines.media.new_router,6,0,6,0,0,0,6,LOW,NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,1.5,11
app.engines.marketing_automation.provider_router,3,0,0,0,3,0,3,LOW,NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,1.0,12
app.engines.customer_reviews.provider_router,2,0,0,0,2,0,2,LOW,NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,1.0,13
app.engines.profile.router,3,0,3,0,0,0,3,LOW (self-profile),NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,1.0,14
app.engines.admin_catalog.brand_provider_router,2,0,2,0,0,0,2,LOW,NONE,NONE,LOW,LOW,unknown,unknown,unknown,0,unknown,none found,LOW,1.0,15
app.engines.admin_catalog.recommendation_router,1,0,1,0,0,0,1,LOW,NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,0.5,16
app.engines.admin_catalog.service_option_provider_router,1,0,1,0,0,0,1,LOW,NONE,NONE,LOW,LOW,unknown,unknown,unknown,0,unknown,none found,LOW,0.5,17
app.engines.analytics.provider_router,1,0,0,0,1,0,1,LOW,NONE,NONE,NONE,NONE,unknown,unknown,unknown,0,unknown,none found,LOW,0.5,18
app.engines.package_commerce.tenant_router,1,0,1,0,0,0,1,LOW (already delegates to canonical create_package_assignment, re-verified Slice 2F-5C),NONE,LOW (package purchase, already service-layer safe per 2F-5C),LOW,LOW,unknown,unknown,SHARED_CANONICAL_SERVICE (Slice 2F-5C),0,unknown,covered indirectly by Slice 2F-5C's package-assignment-integrity.md,LOW (already indirectly verified),0.5,19

# Notes:
# Risk score is qualitative (0-10), weighted per the mission's stated priority order:
#   1. user/role/session admin (none remain -- tenant_engine already closed this)
#   2. finance/credit exposed to tenant personas (invoice_payment.provider_router: HIGHEST remaining)
#   3. service catalog/pricing/business config (serviceability.router, admin_catalog.tenant_router)
#   4. service areas/availability/staff admin (serviceability.router overlaps here too)
#   5. customer/complaint/operational (complaints, real_estate, coaching)
#   6. media/notification/template/low-risk config (platform_notifications, media, marketing_automation)
#   7. disconnected/compatibility (package_commerce.tenant_router, already indirectly verified)
# Columns marked "unknown" were not investigated in depth for modules NOT selected this
#   slice, per the mission's instruction to select exactly one module and not begin a second.
#   These are the same fields Workstream 2 asks to capture; the un-selected modules' "unknown"
#   cells reflect a deliberately shallow, ranking-only pass, not a completed audit.
