method,path,endpoint,module,final_class,db_writes,external_effects,audit_effects,handler_write_expr
POST,/v1/auth/token/introspect,introspect_token,app.engines.auth.router,PURE_CALCULATION,,,,no
POST,/v1/auth/password/reset/confirm,confirm_password_reset,app.engines.auth.router,PURE_CALCULATION,,,,no
POST,/v1/public/register/verify,verify_otp,app.engines.public_registration.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/public/register/payment-order,create_payment_order,app.engines.public_registration.router,PURE_CALCULATION,,,,no
POST,/v1/public/register/webhook/razorpay,razorpay_webhook,app.engines.public_registration.router,PURE_CALCULATION,,,,no
POST,/v1/tenants/onboarding/{request_id}/start-review,start_review,app.engines.tenant_engine.router,PURE_CALCULATION,,,,no
POST,/v1/tenants/onboarding/{request_id}/request-documents,request_documents,app.engines.tenant_engine.router,PURE_CALCULATION,,,,no
POST,/v1/tenants/onboarding/{request_id}/preflight-check,preflight_check,app.engines.tenant_engine.router,VALIDATION_ONLY,,,,no
POST,/v1/tenants/onboarding/{request_id}/reject,reject_onboarding,app.engines.tenant_engine.router,PURE_CALCULATION,,,,no
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/config/validate,validate_engine_config,app.engines.tenant_engine.router,VALIDATION_ONLY,,,,no
POST,/v1/tenants/{tenant_id}/billing/dunning,trigger_dunning,app.engines.tenant_engine.router,PURE_CALCULATION,,,,no
POST,/v1/tenant/service-areas/validate,validate_tenant_service_area,app.engines.serviceability.router,VALIDATION_ONLY,,,,no
POST,/v1/serviceability/matching-tenants,matching_tenants,app.engines.serviceability.router,PURE_CALCULATION,,,,no
POST,/v1/customer/services/available,available_services,app.engines.serviceability.router,PURE_CALCULATION,,,,no
POST,/v1/admin/serviceability/test,admin_serviceability_test,app.engines.serviceability.router,PURE_CALCULATION,,,,no
POST,/v1/marketing/posts/{post_id}/cancel,cancel_post,app.engines.marketing.router,PURE_CALCULATION,,,,no
POST,/v1/billing/profiles/{tenant_id}/change-mode,change_mode,app.engines.platform_commerce.billing_endpoint,PURE_CALCULATION,,,,no
POST,/v1/billing/route,route_operation,app.engines.platform_commerce.billing_endpoint,PURE_CALCULATION,,,,no
PUT,/v1/billing/configs,set_config,app.engines.platform_commerce.billing_endpoint,PURE_CALCULATION,,,,no
POST,/v1/admin/compliance/jobs/run,run_compliance_jobs,app.engines.compliance.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/compliance/jobs/run-sla,run_sla_check_only,app.engines.compliance.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/compliance/jobs/run-expire-exports,run_expire_exports_only,app.engines.compliance.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/engines/category-matrix/{category_id}/seed-defaults/preview,seed_category_defaults_preview,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/engines/category-matrix/{category_id}/engines/{engine_key}/enable-preview,enable_category_engine_preview,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/engines/category-matrix/{category_id}/engines/{engine_key}/disable-preview,disable_category_engine_preview,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/engines/dependencies/validate,validate_dependencies,app.engines.engine_mgmt.admin_router,VALIDATION_ONLY,,,,no
POST,/v1/admin/engines/package-entitlements/{package_id}/preview-impact,package_entitlement_impact,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/engines/resolve-access-preview,resolve_access_preview,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/engines/{engine_key}/impact-preview,impact_preview,app.engines.engine_mgmt.admin_router,PREVIEW,,,,no
POST,/v1/admin/trust-quality/seed-defaults/preview,seed_defaults_preview,app.engines.trust_quality.admin_router,PREVIEW,,,,no
POST,/v1/admin/notifications/templates/seed-defaults/preview,seed_defaults_preview,app.engines.notification.admin_router,PREVIEW,,,,no
POST,/v1/admin/notifications/templates/resolve-effective-template,resolve_effective_template,app.engines.notification.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/notifications/templates/{template_id}/validate,validate_template,app.engines.notification.admin_router,VALIDATION_ONLY,,,,no
POST,/v1/admin/finance/disputes/{dispute_id}/settlements/preview,preview_deduction,app.engines.customer_credits.admin_router,PREVIEW,,,,no
POST,/v1/me/credits/preview-apply,preview_apply_credit,app.engines.customer_credits.customer_router,PREVIEW,,,,no
