method,path,route,module,genuine_mutation,persona,dependency_before,dependency_after,tenant_ownership,customer_ownership,protected,runtime_verified
GET,/provider/quotes/jobs/{job_id},provider_list_job_quotes,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (unchanged -- tenant_id passed to service),yes,no,yes,yes
GET,/provider/quotes/{quote_id},provider_get_quote,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (tenant_id now passed to get_quote -- IDOR fix),yes,no,yes,yes
GET,/provider/quotes/{quote_id}/events,provider_quote_events,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (unchanged -- tenant_id already passed),yes,no,yes,yes
POST,/provider/quotes/{quote_id}/cancel,provider_cancel_quote,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
POST,/staff/quotes,staff_create_quote,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
GET,/staff/quotes/jobs/{job_id},staff_list_job_quotes,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (unchanged),yes,no,yes,yes
GET,/staff/quotes/{quote_id},staff_get_quote,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (tenant_id now passed to get_quote -- IDOR fix),yes,no,yes,yes
POST,/staff/quotes/{quote_id}/items,staff_add_item,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
PUT,/staff/quotes/{quote_id}/items/{item_id},staff_update_item,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
DELETE,/staff/quotes/{quote_id}/items/{item_id},staff_remove_item,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
POST,/staff/quotes/{quote_id}/send-to-customer,staff_send_to_customer,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
POST,/staff/quotes/{quote_id}/mark-revised,staff_mark_revised,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
GET,/staff/quotes/{quote_id}/events,staff_quote_events,provider_router,no,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,get_current_user (unchanged),yes,no,yes,yes
POST,/staff/quotes/{quote_id}/cancel,staff_cancel_quote,provider_router,yes,TENANT_PROVIDER_QUOTE_ADMIN,get_current_user,require_owner_or_office_staff_mutation,yes,no,yes,yes
