method,path,function,router,final_dependency,capability,persona,verification_level
GET,/v1/provider/notifications,provider_list_notifications,provider_notif_router,require_owner_or_office_staff_mutation,in_app_notification_read,TENANT_OWNER_NOTIFICATION_ADMIN,VERIFIED
GET,/v1/provider/notifications/unread-count,provider_unread_count,provider_notif_router,require_owner_or_office_staff_mutation,in_app_notification_read,TENANT_OWNER_NOTIFICATION_ADMIN,VERIFIED
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,provider_notif_router,require_owner_or_office_staff_mutation,in_app_notification_mark_read,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,provider_notif_router,require_owner_or_office_staff_mutation,in_app_notification_mark_all_read,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
GET,/v1/provider/notifications/preferences,provider_get_prefs,provider_notif_router,require_owner_or_office_staff_mutation,notification_preference_read,TENANT_OWNER_NOTIFICATION_ADMIN,VERIFIED
PUT,/v1/provider/notifications/preferences,provider_update_pref,provider_notif_router,require_owner_or_office_staff_mutation,notification_preference_update,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
GET,/v1/provider/chat/threads,provider_list_threads,provider_chat_router,require_owner_or_office_staff_mutation,conversation_list,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
POST,/v1/provider/chat/threads,provider_create_thread,provider_chat_router,require_owner_or_office_staff_mutation,conversation_create,TENANT_TO_CUSTOMER_COMMUNICATION,VERIFIED
GET,/v1/provider/chat/threads/{thread_id},provider_get_thread,provider_chat_router,require_owner_or_office_staff_mutation,conversation_read,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
GET,/v1/provider/chat/threads/{thread_id}/messages,provider_list_messages,provider_chat_router,require_owner_or_office_staff_mutation,message_read,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
POST,/v1/provider/chat/threads/{thread_id}/messages,provider_send_message,provider_chat_router,require_owner_or_office_staff_mutation,message_send,TENANT_TO_CUSTOMER_COMMUNICATION,VERIFIED
POST,/v1/provider/chat/threads/{thread_id}/read,provider_mark_thread_read,provider_chat_router,require_owner_or_office_staff_mutation,message_mark_read,TENANT_STAFF_NOTIFICATION_OPERATION,VERIFIED
GET,/v1/provider/audit-logs,provider_list_audit,provider_audit_router,require_owner_or_office_staff_mutation,audit_log_read,TENANT_OWNER_NOTIFICATION_ADMIN,VERIFIED
GET,/v1/provider/audit-logs/record-timeline,provider_record_timeline,provider_audit_router,require_owner_or_office_staff_mutation,audit_log_read,TENANT_OWNER_NOTIFICATION_ADMIN,VERIFIED
GET,/v1/staff/notifications,staff_list_notifications,staff_notif_router,require_staff_or_technician_only,in_app_notification_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,VERIFIED
GET,/v1/staff/notifications/unread-count,staff_unread_count,staff_notif_router,require_staff_or_technician_only,in_app_notification_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,VERIFIED
POST,/v1/staff/notifications/{notification_id}/read,staff_mark_read,staff_notif_router,require_staff_or_technician_only,in_app_notification_mark_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,VERIFIED
POST,/v1/staff/notifications/mark-all-read,staff_mark_all_read,staff_notif_router,require_staff_or_technician_only,in_app_notification_mark_all_read,ASSIGNED_STAFF_CONVERSATION_OPERATION,VERIFIED
GET,/v1/staff/chat/threads,staff_list_threads,staff_chat_router,require_staff_or_technician_only,conversation_list,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,VERIFIED
GET,/v1/staff/chat/threads/{thread_id},staff_get_thread,staff_chat_router,require_staff_or_technician_only,conversation_read,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,VERIFIED
GET,/v1/staff/chat/threads/{thread_id}/messages,staff_list_messages,staff_chat_router,require_staff_or_technician_only,message_read,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,VERIFIED
POST,/v1/staff/chat/threads/{thread_id}/messages,staff_send_message,staff_chat_router,require_staff_or_technician_only,message_send,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,VERIFIED
POST,/v1/staff/chat/threads/{thread_id}/read,staff_mark_thread_read,staff_chat_router,require_staff_or_technician_only,message_mark_read,ASSIGNED_TECHNICIAN_CONVERSATION_OPERATION,VERIFIED
