item,owner,severity,user_impact,current_safe_ui_behavior,next_phase,blocking_for_functional_baseline
Customer cancellation,FRONTEND+BACKEND,HIGH,Customer cannot cancel a booking from the app,Action not shown; no fake cancel UI exists,Backend capability + frontend build,NON_BLOCKING (correctly out of scope by design)
Customer rescheduling,FRONTEND+BACKEND,HIGH,Customer cannot reschedule from the app,Action not shown; no fake reschedule UI exists,Backend capability + frontend build,NON_BLOCKING (correctly out of scope by design)
Booking Exception Resolution,PRODUCT,MEDIUM,No path to resolve exceptional booking states,Remains blocked platform-wide; no fake UI approved,Product decision required,NON_BLOCKING
Quote approval,BACKEND,MEDIUM,Quote approval screen exists but its underlying data is fixture-only in places,Screen is honestly gated/disclosed per UX-07 Pass 3b disposition audit; real quoteApi endpoints do exist and are called where genuinely wired,Backend integration completion,NON_BLOCKING
Checklist completion,BACKEND,MEDIUM,Checklist UI not fully backend-wired,Not presented as completed production capability,Backend integration completion,NON_BLOCKING
Technician parts-request creation,BACKEND,MEDIUM,Technician cannot create a parts request from the app in all cases,UI hidden/disabled where no real backend endpoint exists; technician can never mark parts installed (canonical permission preserved),Backend endpoint + frontend wiring,NON_BLOCKING
Parts installation permissions,PRODUCT,LOW,N/A - working as designed,Technician correctly blocked from marking installed; only tenant/provider can,No action needed,NOT_BLOCKING
Malformed review submission raw 500,BACKEND,HIGH,"POST /v1/customer/reviews returns raw 500 instead of 4xx on malformed input (missing rating, bad UUID, etc.)",Frontend validates normal-flow input so this can't be triggered by normal UI use; text preserved on failure; no stack trace shown to user,Backend validation fix (see review-validation ticket),NON_BLOCKING for normal use; BLOCKING for API-level robustness
offering_type_id required-field contract,BACKEND,MEDIUM,"master_services.is_type_required=False for ac_repair despite its ServicePricingRule rows being 100% type-scoped -- a latent catalog data inconsistency",Frontend already requires the field for ac_repair defensively; no user-facing failure observed to date,Backend catalog data/contract correction,NON_BLOCKING (frontend defensive workaround holds)
Final responsive certification,DESIGN,LOW,Pixel-width layout not certified at 320/360/390/430px,Deliberately deferred per explicit user direction (design will be replaced),Execute after Customer visual redesign lands,NON_BLOCKING (deliberate deferral, not a defect)
Final Customer visual design,DESIGN,LOW,Current Home/SmartBot visual design is not final,Functional contract preserved; visual layer explicitly slated for replacement,Dedicated design-replacement phase,NON_BLOCKING (deliberate deferral, not a defect)
Authenticated final Home/SmartBot visual sweep,INFRASTRUCTURE,LOW,Final authenticated Playwright screenshot set for Home/SmartBot was not captured,Backend was unreachable from the verification environment at the time (UX-07 Pass 3f) -- a real light/dark login screenshot pair was captured instead,Re-attempt once a reachable backend is available in the verification environment,NON_BLOCKING
Read-only admin (admin_readonly) live verification,SECURITY,LOW,No seeded admin_readonly account exists to verify read-only enforcement live,Disclosed honestly across UX-07 rounds rather than fabricated; role exists in the canonical registry but is unverified live,Seed a real admin_readonly account and re-verify,NON_BLOCKING
N01 domain-integrity limitations,BACKEND,LOW,Not touched or newly exercised by any UX phase,No UX-phase claim made about this area,Separate backend-integrity workstream,NOT_APPLICABLE to UX program
Payment financial-integrity limitations,BACKEND,LOW,Not touched by any UX phase; on-site payment model preserved throughout,No platform payment capture/escrow/payout ever shown,Separate backend/finance workstream,NOT_APPLICABLE to UX program
