metric,value,note
canonical_rows_before,257,
canonical_rows_after,257,unchanged -- strict gate failed
verified_before,214,
verified_after,214,unchanged
unprotected_before,43,
unprotected_after,43,unchanged
canonical_hash_before,45244cd9540456db,
canonical_hash_after,45244cd9540456db,byte-identical
deferred_if_gate_had_passed,214/259 with 45 unprotected,NOT applied
burned_regression_persona,24/24,development evidence only
burned_regression_direction,24/24,development evidence only
burned_regression_abstentions,0/24,was 8/24
fresh_holdout_size,24,
fresh_all_field_agreement,19/24,required 24/24
fresh_capability,21/24,
fresh_side_effect,23/24,
fresh_persona,23/24,
fresh_direction,22/24,
