screen,element,finding,severity,fix_status,notes
HomeScreen,location chip (top row),accessibilityRole/Label already present pre-pass,LOW,already-compliant,verified accessibilityRole="button" + accessibilityLabel="Choose service location" already existed
HomeScreen,notifications icon button (36x36),icon-only touchable had no hitSlop; visual hit area below the ~44x44 recommended minimum,MEDIUM,FIXED,added hitSlop 6/6/6/6 (effective ~48x48)
HomeScreen,profile avatar button (36x36),same as above,MEDIUM,FIXED,added hitSlop 6/6/6/6
HomeScreen,search input,accessibilityLabel already present pre-pass,LOW,already-compliant,"accessibilityLabel=""Search for a service"" existed; no accessibilityHint added (deferred, LOW: placeholder text already communicates purpose)"
HomeScreen,SmartBot CTA card,accessibilityRole/Label already present pre-pass,LOW,already-compliant,none
HomeScreen,active-job / no-active-job banner,accessibilityRole/Label already present on the active-job touchable; the no-active-job static banner has no role (acceptable - not interactive),LOW,already-compliant,none
HomeScreen,popular-service tiles,accessibilityRole/Label already present pre-pass; no accessibilityState (no persistent selection concept on Home - tiles just navigate away),LOW,not-applicable,accessibilityState{selected} does not apply - tiles are one-shot navigation actions not toggleable options
HomeScreen,loading skeletons (active job / recent bookings),Skeleton component already emits accessibilityLabel="Loading" (verified pre-pass in Skeleton.tsx),LOW,already-compliant,no live-region announcement on transition from loading->loaded; judged acceptable because the content itself (bookings/banner) becomes focusable and readable once it renders
HomeScreen,trust row icons,decorative icons with adjacent text labels; no accessibilityLabel needed on the Ionicons themselves,LOW,not-applicable,text label already carries the semantic content
TabNavigator,bottom tab bar icons (Home/Bookings/SmartBot/Alerts/Profile),TabIcon exposed accessibilityLabel including "selected" text but no accessibilityRole or accessibilityState -- a screen reader has no structural (non-text) way to know these are tabs or which one is active,HIGH,FIXED,added accessibilityRole="tab" and accessibilityState={{selected:focused}} to the TabIcon wrapper
DeepSeekChatScreen,"Start Conversation" button (pre-session),no accessibilityRole/Label/State despite disabled+busy states during "Starting...",MEDIUM,FIXED,added role/label/accessibilityState{disabled,busy}
DeepSeekChatScreen,"Book a service" header button,accessibilityRole/Label already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,language chip (header),accessibilityRole/Label already present pre-pass; label already announces current language + affordance,LOW,already-compliant,none
DeepSeekChatScreen,chat message bubbles,accessibilityLabel already present pre-pass ("X said: ..."),LOW,already-compliant,none
DeepSeekChatScreen,chat error text,accessibilityRole="alert" already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,message TextInput + Send button,accessibilityLabel already present on both; Send button already had accessibilityState{disabled,busy},LOW,already-compliant,none
DeepSeekChatScreen,language selector close (X) button,accessibilityRole/Label already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,language selector search input,accessibilityLabel already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,"language option rows in the language picker FlatList",CRITICAL gap: rows were plain TouchableOpacity with NO accessible/accessibilityRole/accessibilityLabel/accessibilityState at all -- a screen-reader user could not identify or select a language,CRITICAL,FIXED,"added accessible accessibilityRole=""button"" accessibilityLabel=""{english} ({native})"" and accessibilityState={{selected: item.code===language.code}}"
DeepSeekChatScreen,guided-booking-flow modal container,Modal's root View had no accessibilityViewIsModal (the sibling language-selector Modal already had it) -- screen readers on some platforms can navigate outside a modal without this,HIGH,FIXED,added accessibilityViewIsModal to the flowModal View
DeepSeekChatScreen,guided-flow back/close button (32x32),icon-only touchable below the ~44x44 minimum with no hitSlop,MEDIUM,FIXED,added hitSlop 8/8/8/8
DeepSeekChatScreen,guided-flow progress indicator,accessibilityLabel with real "Step X of Y" text already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,answers-so-far summary toggle,accessibilityRole/Label/accessibilityState{expanded} already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,"Start over" link,accessibilityRole/Label already present pre-pass,LOW,already-compliant,none
DeepSeekChatScreen,category/offering/brand/offering-type option rows,accessibilityRole/Label already present pre-pass for each real option; no accessibilityState{selected} (rows navigate to the next step immediately on press, no lingering multi-select concept),LOW,not-applicable,one-shot navigation rows, not persistent toggles
DeepSeekChatScreen,issue/address/city text inputs (guided flow),no accessibilityLabel despite having only a placeholder (placeholder text is not read reliably as a label by all screen readers),MEDIUM,FIXED,added accessibilityLabel matching each field's placeholder
DeepSeekChatScreen,price-tier buttons (low/mid/high),CRITICAL-adjacent gap: no accessible/accessibilityRole/Label/State at all on these primary booking-decision buttons,HIGH,FIXED,"added accessible accessibilityRole=""button"" accessibilityLabel=<visible tier text> accessibilityState={{disabled,busy}: flowLoading}"
DeepSeekChatScreen,"Continue with this price" (standard-price path) button,no accessibility props despite disabled+busy states,MEDIUM,FIXED,added role/label/accessibilityState{disabled,busy}
DeepSeekChatScreen,"Confirm Booking" button,no accessibility props despite disabled+busy states during confirmation,MEDIUM,FIXED,added role/label/accessibilityState{disabled,busy}
DeepSeekChatScreen,"Check availability" button,no accessibility props despite disabled+busy states,MEDIUM,FIXED,added role/label/accessibilityState{disabled,busy}
DeepSeekChatScreen,"View Booking" button (post-confirmation),no accessibility props,LOW,FIXED,added role/label (button has visible static text so severity is lower than the busy-state buttons above)
DeepSeekChatScreen,loading text states ("Checking...", "Confirming...", "Please wait..."),no accessibilityLiveRegion/announcement separate from the button's own accessibilityState.busy,LOW,deferred,"judged acceptable: accessibilityState={{busy:true}} on the same control already signals the pending state to assistive tech that honors it; a separate live-region announcement was not added this pass (see known-limitations.md)"
DeepSeekChatScreen,handoff notice / serviceability message text,plain Text with no accessibilityRole (not an alert - informational),LOW,deferred,could add accessibilityLiveRegion="polite" for screen-reader users who open the flow already mid-conversation; not fixed this pass, documented as known gap
