required_filename,actual_filename,status,consolidated_into,reason,evidence_source
implementation-summary.md,implementation-summary.md,PRESENT,,,this slice
branch-worktree-baseline.md,branch-worktree-baseline.md,PRESENT,,,this slice
baseline-freeze.md,baseline-freeze.md,PRESENT,,,this slice
worktree-interference-guard.md,worktree-interference-guard.md,PRESENT,,,this slice
route-enumeration-method.md,route-enumeration-method.md,PRESENT,,,this slice
unresolved-route-reproduction.md,unresolved-route-reproduction.md,PRESENT,,,this slice
final-route-classification.csv,final-route-classification.csv,PRESENT,,"80 of the (then-)229 unresolved rows",this slice
authorization-remediation-report.md,authorization-remediation-report.md,PRESENT,,,this slice
service-layer-bypass-audit.csv,service-layer-bypass-audit.csv,PRESENT,,,this slice
route-denominator-reconciliation.md,route-denominator-reconciliation.md,PRESENT,,,this slice
targeted-test-report.md,targeted-test-report.md,PRESENT,,,this slice
phase2f-regression-report.md,phase2f-regression-report.md,PRESENT,,,this slice
full-backend-regression-diff.md,full-backend-regression-diff.md,PRESENT,,,this slice
verifier-spec.md,verifier-spec.md,PRESENT,,,this slice
verifier-report.md,verifier-report.md,PRESENT,,,this slice
verifier-negative-fixture-report.md,verifier-negative-fixture-report.md,PRESENT,,,this slice
backend-file-change-report.md,backend-file-change-report.md,PRESENT,,,this slice
frontend-non-change-report.md,frontend-non-change-report.md,PRESENT,,,this slice
known-limitations.md,known-limitations.md,PRESENT,,,this slice
deferred-items.md,deferred-items.md,PRESENT,,,this slice
final-status-rationale.md,final-status-rationale.md,PRESENT,,,this slice
approval-gate.md,approval-gate.md,PRESENT,,,this slice
artifact-manifest.csv,artifact-manifest.csv,PRESENT,,,this slice
customer-self-service-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"3 self-service rows are in the one classification table",this slice
platform-admin-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"24 platform-admin rows are in the one classification table",this slice
callback-webhook-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"2 public/callback (Razorpay webhook) rows are in the one classification table",this slice
canonical-mutation-additions.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"41 canonical rows are in the one classification table rather than a separate additions file, since this tranche's canonical routes were already correctly protected (unlike 2F-39A's, which needed a dedicated additions file to explain why the denominator moved) -- no denominator-moving claim beyond what route-denominator-reconciliation.md already states",this slice
internal-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no PLATFORM_INTERNAL_MUTATION route was confirmed in the 4 modules classified this slice (the 4 security.router candidates that might be internal are PRODUCT_DECISION_REQUIRED instead, pending confirmation)",n/a
duplicate-alias-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no DUPLICATE_OR_ALIAS route was found in the 4 modules classified this slice",n/a
deprecated-mounted-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no DEPRECATED_BUT_MOUNTED route was found in the 4 modules classified this slice",n/a
framework-generated-routes.csv,,NOT_APPLICABLE_FOR_THIS_SLICE,,"no FRAMEWORK_GENERATED_NON_BUSINESS route was found in the 4 modules classified this slice",n/a
confirmed-read-only-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"3 AUTHENTICATED_READ_ONLY rows are in the one classification table",this slice
product-policy-blocked-routes.csv,final-route-classification.csv,CONSOLIDATED,final-route-classification.csv,"the 7 PRODUCT_DECISION_REQUIRED rows are in the one classification table; the underlying narrative is in authorization-remediation-report.md",this slice
