router_module,domain,total_endpoints,fully_protected,role_only,permission_only,unverified_authenticated_only,pct_fully_protected,verification_level
app.engines.tenant_engine.router,Business profile/onboarding/settings/plan/engines,27,19,7,0,1,70%,SLICE_2F1A_VERIFIED (SECURITY_CLOSED_PRODUCT_POLICY_BLOCKED: all 19 access-scope-guarded -- 11 TENANT_OWNER_SELF_SERVICE + 8 PLATFORM_ADMIN_ONLY (permission granted to no role; 2 product decisions remain open -- see phase-02a-slice-02f1a/product-decisions-required.md); see phase-02a-slice-02f1a/tenant-engine-final-policy-matrix.csv for full per-endpoint policy)
app.engines.provider_portal.router,Provider team-members/availability/offerings/status,24,23,0,0,1,96%,SLICE_2F2_VERIFIED (SECURITY_CLOSED_PRODUCT_POLICY_BLOCKED: 22 newly access-scope-guarded via new require_tenant_owner_mutation + 1 pre-existing require_tenant_mutation_permission = 23 protected; 1 FALSE_POSITIVE (not a real mutation); 3 directly-connected cross-tenant/session-revocation bugs found and fixed; see phase-02a-slice-02f2/)
app.engines.execution.home_service_router,ServiceJob execution/Parts requests/approval/install,21,18,3,0,0,86%,SLICE_2F3B_VERIFIED (SECURITY_CLOSED: 18 STAFF_EXECUTION_ROLE_SCOPE_AWARE + 3 PLATFORM_ADMIN_ONLY (permission-gated, exempt); corrected from 23 mounted after removing 2 shadowed dead-code decorators -- see phase-02a-slice-02f3b/)
app.engines.execution.real_estate_router,Real estate lead execution (non-home-services vertical),11,11,0,0,0,100%,"SLICE_2F11_VERIFIED (SECURITY_CLOSED: all 11 previously AUTHENTICATED_ONLY_NO_PERMISSION_CHECK -- no REAL_ESTATE_* permission exists; all 11 now use require_owner_or_office_staff_mutation = TENANT_OWNER_OR_DELEGATED_STAFF_LEAD_MUTATION (technician deliberately excluded, no caller evidence); pre-existing, correct per-lead agent_id assignment ownership check in RealEstateLeadExecutionService unchanged and re-verified; module implements a lead-execution CRM tracker only -- no property/listing/media/offer/viewing capability exists in this codebase; see phase-02a-slice-02f11/)"
app.engines.platform_notifications.provider_router,Provider chat/notifications,10,0,10,0,0,100%,RUNTIME_VERIFIED (live route+dependency introspection) — protected in Slice 2F-18
app.engines.admin_catalog.tenant_router,Services/Categories/Types/Options/Pricing,10,9,0,0,0,90%,SLICE_2F8_VERIFIED (SECURITY_AND_DOMAIN_INTEGRITY_CLOSED_PRODUCT_POLICY_BLOCKED: 9 tenant mutations already require_tenant_mutation_permission(TENANT_UPDATE)-guarded pre-slice (re-verified, unmodified) = TENANT_OWNER_CATALOG_MAPPING/TENANT_OWNER_SERVICE_ENABLEMENT since TENANT_UPDATE is tenant_owner-only; 1 remaining route (preview_tenant_price_options) confirmed FALSE_POSITIVE (pure computation, no DB access); a real cross-tenant bypass was found and fixed in TenantCatalogService._require_tenant_id (a tenant_owner could pass a foreign tenant_id query param and mutate another tenant's catalog); see phase-02a-slice-02f8/)
app.engines.tenant_engine.portal_router,Tenant self-service (profile/settings/users/staff/wallet),10,10,0,0,0,100%,SLICE_2F4_VERIFIED (SECURITY_CLOSED_PRODUCT_POLICY_BLOCKED: all 10 require_tenant_owner_mutation-guarded; 2 real bugs found+fixed -- AuthService construction crash on lock/unlock/revoke-sessions, and missing session revocation on deactivate_staff vs the frontend-canonical auth.router alternate; see phase-02a-slice-02f4/)
app.engines.complaints.provider_router,Complaints/Rework/Refund,9,9,0,0,0,100%,SLICE_2F9_VERIFIED (SECURITY_AND_DOMAIN_INTEGRITY_CLOSED_PRODUCT_POLICY_BLOCKED: all 9 previously AUTHENTICATED_ONLY_NO_PERMISSION_CHECK -- no COMPLAINT_*/REWORK_*/REFUND_* permission exists in the registry, so all 9 now use require_tenant_owner_mutation = TENANT_OWNER_COMPLAINT_MUTATION, no permission granted; 3 additional directly-connected cross-tenant service-layer bypasses found and fixed (create_settlement_proposal, ServiceReworkService._get_rework, RefundRequestService._get_refund all previously had zero tenant ownership check); see phase-02a-slice-02f9/)
app.engines.execution.coaching_router,Coaching appointment execution (non-home-services vertical),8,8,0,0,0,100%,"SLICE_2F12_VERIFIED (SECURITY_CLOSED: all 8 previously AUTHENTICATED_ONLY_NO_PERMISSION_CHECK -- no COACHING_* permission exists; all 8 now use require_owner_or_office_staff_mutation = TENANT_OWNER_OR_DELEGATED_STAFF_COACHING_MUTATION (technician deliberately excluded, no caller evidence); pre-existing, correct per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged and re-verified; module implements a CoachingAppointment execution/CRM tracker only -- no slot-hold/capacity/enrolment model exists in this router (that machinery lives in the distinct, unaudited app.engines.coaching_appointment module); see phase-02a-slice-02f12/)"
app.engines.serviceability.router,Service areas/coverage,8,8,0,0,0,100%,SLICE_2F7_VERIFIED (SECURITY_CLOSED: all 8 tenant service-area/mapping mutations wrapped in require_tenant_mutation_permission -- TENANT_OWNER_SERVICE_AREA/TENANT_OWNER_SERVICE_COVERAGE, evidence-based owner-only since TENANT_SERVICE_AREA_CREATE/UPDATE/DELETE/SERVICE_* are granted only to tenant_owner in ROLE_PERMISSIONS; previously PERMISSION_ONLY_NOT_SCOPE_AWARE with no access-scope check; see phase-02a-slice-02f7/)
