field,pre_2f22_handling,classification,post_2f22_handling
mark_paid,read from untyped dict -> is_paid,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected by extra='forbid'
payment_reference,stored as payment_reference_id,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
amount,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected (was silently ignored)
price,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
currency,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
discount,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
coupon,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
tax,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
credits,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
points,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
quantity,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
validity_days,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
starts_at,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
expires_at,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
storage_quota_gb,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
commission_rate,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
status,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
external_transaction_id,silently ignored,CLIENT_SUPPLIED_UNSAFE,UNSUPPORTED -- rejected
package_id,path parameter,"SERVER_DERIVED (path, then validated)",unchanged -- validated via _load_package
tenant_id,never accepted,SERVER_DERIVED,unchanged -- JWT only
