scenario,proof_mechanism,classification,test
Media A attached to Thread A (own customer, own tenant, chat_attachment context, active),tenant+customer+context+lifecycle+MediaAccessService all pass,AUTHORIZED,test_correct_media_context_accepted / test_same_customer_media_accepted
Media A attached to Thread B (different customer, same tenant),customer_id mismatch (thread.customer_id != asset.customer_id),CUSTOMER_IDOR_REJECTED,test_cross_customer_media_within_same_tenant_rejected
Media A attached to Customer B's conversation,same as above,CUSTOMER_IDOR_REJECTED,test_cross_customer_media_within_same_tenant_rejected
Media B attached to Customer A's conversation,same as above,CUSTOMER_IDOR_REJECTED,test_cross_customer_media_within_same_tenant_rejected
Staff-internal asset (provider_document context) attached to customer-visible message,media_context != chat_attachment,UNSUPPORTED_REFERENCE_REJECTED,test_wrong_media_context_rejected
Customer asset attached to staff-internal thread,MediaAccessService.assert_can_view (customer-context asset viewed by customer -- only own customer_id match; if the "staff-internal thread" has no customer linkage the tenant-scoped branch of assert_can_view still applies for tenant roles),AUTHORIZED for the office/tenant persona (existing MediaAccessService tenant-wide-for-media policy) -- see known-limitations.md for why this is not narrower,n/a (documents existing behavior)
Technician-uploaded asset used by unrelated technician (same tenant),MediaAccessService's tenant role branch admits ANY tenant_owner/staff/technician in the same tenant for a customer-context asset -- existing policy reused as-is,AUTHORIZED (existing platform media policy -- not thread-assignment-scoped),test_technician_can_view_same_tenant_customer_context_asset (documents this explicitly)
Media from another conversation (same customer, same tenant, no thread linkage exists in schema),NOT STRUCTURALLY VERIFIABLE -- no thread_id/message_id column on MediaAsset,UNSUPPORTED_REFERENCE_REJECTED is NOT enforced for this specific dimension -- flagged as a known limitation rather than silently claimed closed,n/a -- see known-limitations.md
Media from another Job (same customer, same tenant, no Job linkage exists in schema),NOT STRUCTURALLY VERIFIABLE -- no job_id column on MediaAsset,same as above,n/a -- see known-limitations.md
Same-tenant unrelated generic media (wrong context, e.g. customer_profile_photo),media_context != chat_attachment,UNSUPPORTED_REFERENCE_REJECTED,test_wrong_media_context_rejected
Deleted/quarantined media,deleted_at IS NOT NULL or status != active,LIFECYCLE_REJECTED,test_soft_deleted_asset_rejected / test_inactive_status_asset_rejected
Missing media,db.get returns None,UNSUPPORTED_REFERENCE_REJECTED (same error code as all other rejections),test_missing_asset_and_cross_tenant_asset_share_error_code
Cross-tenant media,tenant_id mismatch,TENANT_IDOR_REJECTED (2F-18A, re-confirmed unchanged),test_missing_asset_and_cross_tenant_asset_share_error_code
Foreign customer's upload referenced by a different customer (no tenant_id/customer_id set on asset -- only MediaAccessService's uploaded_by_user_id fallback applies),MediaAccessService.assert_can_view (customer branch: asset.customer_id != actor.user_id -- both None here so falls to the generic customer-context-without-tenant branch which denies non-owner customers),CUSTOMER_IDOR_REJECTED,test_customer_cannot_attach_another_customers_upload
