capability,canonical_route,acting_persona,record_type,pipeline,required_permission,required_access_scope,ownership_check,status_precondition,status_result,alternate_routes,alternate_disposition,frontend_caller,tests,guard_application_target_next_slice,blocker
Job acceptance,POST /v1/staff/service-jobs/{job_id}/accept (home_service_assignment.staff_router),staff/technician,ServiceJob + ServiceJobAssignment,home-services execution,none today,none today,assignment-ownership (ServiceJobAssignment.assigned_staff_member_id match),assignment_status not already accepted/rejected,job.status=accepted; assignment.assignment_status=accepted,execution.home_service_router staff_accept_job (same path),DISCONNECTED (dead code -- shadowed),YES (tenant-portal),YES (this slice + pre-existing),home_service_assignment.staff_router,none for this capability -- ready for next slice's guard application
Job rejection,POST /v1/staff/service-jobs/{job_id}/reject (home_service_assignment.staff_router),staff/technician,ServiceJob + ServiceJobAssignment,home-services execution,none today,none today,assignment-ownership match,assignment_status not already accepted/rejected,job.status=cancelled; assignment.assignment_status=rejected,execution.home_service_router staff_reject_job (same path),DISCONNECTED (dead code -- shadowed),YES (tenant-portal),YES (this slice + pre-existing),home_service_assignment.staff_router,none for this capability -- ready for next slice's guard application
Whole-job cancellation,POST /v1/provider/service-jobs/{job_id}/cancel (execution.home_service_router),provider,ServiceJob,home-services execution,none today,none today,tenant_id filter (via _get_job),not already terminal,job.status=cancelled,home_service_assignment.provider_router cancel_assignment (different path, different transition),DISTINCT_PIPELINE_ROUTE (both required),YES (tenant-portal),not independently re-verified this slice,execution.home_service_router,none -- distinct capability, ready for next slice
Assignment cancellation,POST /v1/provider/service-jobs/{job_id}/cancel-assignment (home_service_assignment.provider_router),provider,ServiceJobAssignment,home-services assignment,none today,none today,not independently re-verified this slice,not independently re-verified,assignment cancelled,execution.home_service_router provider_cancel_job (different path, different transition),DISTINCT_PIPELINE_ROUTE,YES (tenant-portal),not independently re-verified this slice,home_service_assignment.provider_router,record/object ownership not independently re-verified -- flag for its own guard slice
Initial assignment,POST /v1/provider/service-jobs/{job_id}/assign (home_service_assignment.provider_router),provider,ServiceJob + ServiceJobAssignment,home-services assignment,none today,none today,not independently re-verified this slice,not independently re-verified,assignment created,none,CANONICAL_ASSIGNMENT_ROUTE,YES (tenant-portal),not independently re-verified this slice,home_service_assignment.provider_router,same as above
Reassignment,POST /v1/provider/service-jobs/{job_id}/reassign (home_service_assignment.provider_router),provider,ServiceJob + ServiceJobAssignment,home-services assignment,none today,none today,not independently re-verified this slice,not independently re-verified,new assignment created,none,CANONICAL_ASSIGNMENT_ROUTE,YES (tenant-portal),not independently re-verified this slice,home_service_assignment.provider_router,same as above
Scheduling,POST /v1/provider/service-jobs/{job_id}/schedule (home_service_assignment.provider_router),provider,ServiceJob,home-services assignment,none today,none today,not independently re-verified this slice,not independently re-verified,job scheduled,none,CANONICAL_ASSIGNMENT_ROUTE,YES (tenant-portal),not independently re-verified this slice,home_service_assignment.provider_router,same as above
Execution progress (on-the-way/reached-site/start-*/complete*/work-done/notes/media/parts-required/quote-required/customer-not-available),execution.home_service_router (14 endpoints),staff/technician,ServiceJob (+ satellites),home-services execution,none today,none today,_assert_staff_owns_job,varies per transition,varies,none,CANONICAL_SERVICEJOB_EXECUTION,not individually re-verified this slice,not individually re-verified this slice,execution.home_service_router,record ownership mechanism (_assert_staff_owns_job / _staff_member_id) not independently re-verified this slice for correctness -- flag for guard slice
Parts request lifecycle (create/approve/reject/install),execution.home_service_router (4 endpoints),technician (create) / provider (approve/reject/install),PartsRequest,home-services execution,none today,none today,job_id + tenant_id + technician_id columns present (structure confirmed),varies,varies,none in home_service_assignment (confirmed zero parts references),CANONICAL_SERVICEJOB_EXECUTION,YES (tenant-portal, reject only confirmed),not re-verified this slice,execution.home_service_router,provider-only install restriction not re-tested this slice (preserved per brief, not re-verified)
Admin overrides (force-close/status-override/void),execution.home_service_router (3 endpoints),platform admin,ServiceJob,home-services execution,require_admin_jobs_* (permission-gated),none today,not independently re-verified,varies,varies,none,PLATFORM_INTERNAL,not applicable (admin-only),not re-verified this slice,execution.home_service_router,none -- platform-admin persona, lower priority for tenant-facing access-scope work
