file,type
implementation-summary.md,doc
authoritative-unprotected-route-inventory.csv,evidence
post-n01-queue-reconciliation.md,report
held-candidate-status-reconciliation.csv,evidence
held-candidate-arithmetic.md,report
test-node-id-reconciliation.csv,evidence
test-count-correction.md,report
implementation-module-boundaries.csv,evidence
module-route-membership.csv,evidence
updated-risk-scoring-model.md,doc
updated-module-risk-scoring.csv,evidence
critical-security-observation-map.csv,evidence
n01-domain-integrity-backlog.csv,evidence
module-selection-decision.md,doc
selected-canonical-route-scope.csv,evidence
selected-held-adjudication-scope.csv,evidence
selected-out-of-scope-adjacent-routes.csv,evidence
selected-scope-hash-evidence.md,evidence
authorization-evidence-requirements.csv,doc
held-route-adjudication-contract.md,doc
selected-module-test-plan.md,doc
selected-module-implementation-contract.md,doc
selection-verifier-spec.md,doc
selection-verification-report.md,report
verifier-negative-fixture-report.md,report
m01-non-regression-report.md,report
n01-non-regression-report.md,report
canonical-hash-evidence.md,evidence
matrix-hash-evidence.md,evidence
historical-document-preservation.md,report
behavioral-invariant-report.md,report
regression-comparison.csv,evidence
environment-test-evidence.md,evidence
product-decisions-required.md,doc
known-limitations.md,doc
deferred-items.md,doc
documentation-corrections.md,doc
test-quality-report.md,report
test-report.md,report
approval-gate.md,doc
artifact-manifest.csv,evidence
