method,path,endpoint_name,capability,existing_role_guard,existing_permission,roles_currently_receiving_permission,super_admin_bypass,tenant_ownership_behavior,access_scope_behavior,frontend_caller,api_client_caller,test_caller,documentation,product_workflow,current_real_accessibility,intended_accessibility,final_classification,verification_level
POST,/v1/tenants/onboarding/signup,submit_signup,Create onboarding request,none (public),none,n/a,n/a (public),n/a,n/a,none,none,test_public_signup_endpoint_has_no_auth_dependency_added,onboarding docs,tenant signup,anyone unauthenticated,anyone unauthenticated,PUBLIC_SIGNUP,SLICE_2F1A_VERIFIED
POST,/v1/tenants/onboarding/{request_id}/activate,activate_tenant,Activate onboarding request,require_super_admin,none (role-gated),n/a,yes (is the gate),n/a (no tenant_id path param at request stage),n/a (super_admin exempt),super-admin app onboarding queue,super-admin api client,existing Slice 2F/2F-1 tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
PUT,/v1/tenants/onboarding/{request_id}/checklist/{item_key},update_checklist,Update onboarding checklist item,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app onboarding queue,super-admin api client,existing tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/onboarding/{request_id}/preflight-check,preflight_check,Run onboarding preflight check,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app onboarding queue,super-admin api client,existing tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/onboarding/{request_id}/reject,reject_onboarding,Reject onboarding request,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app onboarding queue,super-admin api client,existing tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/onboarding/{request_id}/request-documents,request_documents,Request additional onboarding documents,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app onboarding queue,super-admin api client,existing tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/onboarding/{request_id}/start-review,start_review,Start onboarding review,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app onboarding queue,super-admin api client,existing tests,onboarding docs,platform onboarding review,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/billing/dunning,trigger_dunning,Manually trigger payment dunning,require_super_admin,none (role-gated),n/a,yes,n/a,n/a,super-admin app billing tools,super-admin api client,existing tests,billing docs,platform billing ops,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
PUT,/v1/tenants/{tenant_id},update_tenant,Update tenant profile,require_tenant_mutation_permission,tenant:update,tenant_owner,exempt,yes (_assert_own_tenant_or_super_admin),YES,tenant-portal profile settings,tenant-portal api client,test_owner_accessible_endpoint_clears_auth_layer_for_owner + cross-tenant test,tenant settings docs,tenant self-service profile mgmt,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,Update payment method,require_tenant_mutation_permission,tenant:billing:manage,tenant_owner,exempt,yes,YES,tenant-portal billing settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,billing docs,tenant self-service billing,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
