role,user_facing_name,nav_item,business_purpose,pages_inside,workflows_inside,primary_action,alerts_counters,apis_covered,advanced_hidden,verification
super_admin,Platform Admin,Home,System health & cross-tenant summary,dashboard,platform health monitoring,view risk items,SLA breaches; onboarding queue depth,/v1/admin/dashboard*,raw audit events,SOURCE_VERIFIED
super_admin,Platform Admin,My Work,Action queue across all tenants,my-work (new),onboarding approval; complaint escalation; SLA breach,resolve item,count of pending actions by type,aggregation endpoint (new),,SOURCE_INFERRED
super_admin,Platform Admin,Businesses,Tenant lifecycle management,tenants; tenants/onboarding; onboarding/providers; packages; trust-quality,business onboarding & approval; suspension; reactivation,approve/reject/suspend,pending verification count,/v1/admin/tenants*; /v1/tenants*,tenant audit timeline,SOURCE_VERIFIED
super_admin,Platform Admin,Services,Catalog & pricing configuration,verticals; categories; catalog*; pricing-tiers; location-mapping; pricing/*,category/service/pricing setup,publish/edit,unpublished services count,/v1/admin/catalog*; /v1/pricing*,raw mapping tables,SOURCE_VERIFIED
super_admin,Platform Admin,Operations,Booking/job exception handling,bookings; home-services/service-jobs; customers; staff; reviews; complaints*,booking exception resolution; complaint resolution,reassign/escalate/close,SLA-at-risk count,/v1/admin/bookings*; /v1/jobs*; /v1/admin/complaints*,legacy booking preflight,SOURCE_VERIFIED
super_admin,Platform Admin,Finance,Credits/commission/deposits oversight,finance*; finance/usage-credits; finance/deposits; finance/topups; finance/claims; finance/payouts; compliance,credit ledger review; manual adjustment,adjust/approve,low-credit tenant count,/v1/admin/finance*; /v1/admin/usage-credits*,raw ledger entries,SOURCE_VERIFIED
super_admin,Platform Admin,Governance,Security/roles/audit,security; users; users/roles; users/permissions; audit-logs; workflow-templates,role management; audit investigation,grant/revoke/export,security incidents count,/v1/admin/platform-users*; /v1/admin (roles_permissions),raw permission diagnostics,SOURCE_VERIFIED
super_admin,Platform Admin,Reports,Cross-tenant analytics,analytics; reports; intelligence; marketing,reporting,export,,/v1/admin/reports*,,SOURCE_VERIFIED
super_admin,Platform Admin,Settings,Engine/media/notification config,engines; media; settings; notifications*,engine enable/disable; template management,configure,,/v1/admin/engines*; /v1/admin/notifications*,,SOURCE_VERIFIED
admin_operations,Operations Admin,(subset of above),Day-to-day ops without platform-wide config power,bookings; operations; complaints subset,booking exception handling,resolve,,partial (require_permission-gated only),tenant/finance/security modules,SOURCE_VERIFIED - partially wired
admin_finance,Finance Admin,(subset of above),Finance oversight without ops/security power,finance*,credit/commission review,adjust,,partial,tenant onboarding/security modules,SOURCE_VERIFIED - partially wired
admin_security,Security Admin,(subset of above),Security/roles oversight,security; users/roles,role/permission review,grant/revoke,,partial,finance/catalog modules,SOURCE_VERIFIED - partially wired
admin_readonly,Read-Only Admin,(subset of above; view-only),Auditing without mutation power,all read views,none (view only),view,,partial (mutations blocked explicitly),all mutation actions,SOURCE_VERIFIED
tenant_owner,Business Owner,Home,Dashboard + onboarding checklist,dashboard,status overview,go to next setup step,onboarding progress %,/v1/tenant/dashboard*,,SOURCE_VERIFIED
tenant_owner,Business Owner,My Work,Action queue for this business,my-work (new),quote awaiting approval; low credit; complaint decision,resolve item,pending count,aggregation endpoint (new),,SOURCE_INFERRED
tenant_owner,Business Owner,Jobs,Booking/job operations,jobs; bookings; appointments; service-jobs*,job lifecycle tracking,view/assign,active job count,/v1/staff/service-jobs*; /v1/bookings*,legacy booking fields,SOURCE_VERIFIED
tenant_owner,Business Owner,Services,Catalog/pricing/coverage setup,tenant/setup/services; provider/service-areas; provider/service-coverage; tenant/setup/availability; provider/pricing,guided service+pricing setup,publish,setup completeness %,/v1/tenant/catalog*; /v1/pricing*,raw pricing overrides,SOURCE_VERIFIED
tenant_owner,Business Owner,Team,Staff/technician management,staff; provider/staff; provider/team-members,staff invite/onboard/assign,invite,pending invites,/v1/admin/tenants/{id}/staff (self); /v1/provider*,,SOURCE_VERIFIED
tenant_owner,Business Owner,Customers,Customer relationship,customers; reviews; provider/complaints; chat,review response; complaint response,reply/resolve,unread count,/v1/provider/reviews*; /v1/provider/complaints*,,SOURCE_VERIFIED
tenant_owner,Business Owner,Business,Profile/verification/documents,profile; documents; provider/compliance; onboarding-status,profile completion; verification submission,submit/edit,verification status,/v1/tenant/profile*; /v1/tenant/onboarding*,,SOURCE_VERIFIED
