module,own_tenant_success,foreign_tenant_target,client_tenant_override,object_id_only,foreign_parent,readonly_scope,disallowed_role,valid_staffpermission,explicit_deny,cross_tenant_grant,unknown_role,unknown_scope,missing_auth,evidence
identity_credentials,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,PASS(mocked-denied),PASS(mocked-denied),PASS(mocked-denied),2F-35/36 test suites
n01_media,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),N01 audit chain (2F-30..34)
geo,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-33/37 verifier R07/R08
webhooks_security,PASS(mocked),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS(signature-checked),2F-35 audit
enterprise_grid,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),PASS(mocked),PASS(mocked),PASS(mocked-denied),NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-36 audit
provider_catalog,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),PASS(mocked),PASS(mocked),PASS(mocked-denied),NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-36 audit
booking_job,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),PASS(mocked),PASS(mocked),PASS(mocked-denied),NOT_TESTED,NOT_TESTED,PASS(mocked-denied),M01/2F-29
pricing,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-37 verifier R07/R08/R19/R20
commerce_deposit,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-37 verifier R09
package_credit_commission,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),MODULE-L5-30/32
payments_subscriptions,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-37 (financial-integrity limitation remains, see payments-financial-limitation-status.md)
compliance_dpdp,PASS(mocked),N/A(self-only),N/A,NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-37 verifier R11
warranty,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-37 verifier R10
notifications,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),MODULE-L5-24..27/47/50
analytics_ds,PASS(mocked),PASS(mocked-denied),PASS(mocked-denied),NOT_TESTED,N/A,PASS(mocked-denied),PASS(mocked-denied),N/A,N/A,N/A,NOT_TESTED,NOT_TESTED,PASS(mocked-denied),2F-36 audit
