method,path,previous_status,final_status,change
POST,/v1/auth/mfa/confirm,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
POST,/v1/auth/mfa/disable,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
PUT,/v1/auth/me,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
PUT,/v1/auth/password/change,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
POST,/v1/auth/staff/invite,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
PUT,/v1/auth/staff/{user_id}/permissions,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/auth/staff/{user_id}/deactivate,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/auth/impersonate,PERMISSION_ONLY_NOT_SCOPE_AWARE,PLATFORM_ADMIN_ONLY,STATUS_UPDATED
POST,/v1/auth/api-keys,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
DELETE,/v1/auth/api-keys/{key_id},PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
PATCH,/v1/auth/api-keys/{key_id},PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,STATUS_UPDATED
POST,/v1/auth/change-password-required,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,FULLY_PROTECTED,STATUS_UPDATED
