route,action_this_slice,previous_location,previous_persona_label,new_location,new_persona_label,reason
booking_preflight,unchanged (already removed in 2F-15B),excluded (removed 2F-15B),FALSE_POSITIVE_NON_MUTATION,excluded,FALSE_POSITIVE_NON_MUTATION,no change this slice
create_booking,removed from tenant-mutation-endpoint-inventory.csv,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION (2F-15B, contradictory dual-label),excluded from canonical tenant CSV; tracked in final-booking-route-persona-table.csv,CUSTOMER_SELF_SERVICE_MUTATION,single-persona correction -- reachable by customer for own booking
cancel_booking,removed from tenant-mutation-endpoint-inventory.csv,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION (2F-15B, contradictory dual-label),excluded from canonical tenant CSV; tracked in final-booking-route-persona-table.csv,CUSTOMER_SELF_SERVICE_MUTATION,single-persona correction
request_reschedule,removed from tenant-mutation-endpoint-inventory.csv,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION (2F-15B, contradictory dual-label),excluded from canonical tenant CSV; tracked in final-booking-route-persona-table.csv,CUSTOMER_SELF_SERVICE_MUTATION,single-persona correction
void_booking,removed from tenant-mutation-endpoint-inventory.csv,tenant-mutation-endpoint-inventory.csv row,PLATFORM_ADMIN_ONLY (already correctly excluded-in-spirit but still present as a row),excluded from canonical tenant CSV; tracked in final-booking-route-persona-table.csv,PLATFORM_INTERNAL_MUTATION,platform routes do not belong in the tenant-only canonical CSV (Design A)
confirm_booking,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
reject_booking,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
convert_to_job,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
accept_reschedule,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
reject_reschedule,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
add_note,unchanged,tenant-mutation-endpoint-inventory.csv row,TENANT_PROVIDER_MUTATION,tenant-mutation-endpoint-inventory.csv row (unchanged),TENANT_PROVIDER_MUTATION,genuinely tenant-only, correctly remains
